GEND,SCHOOL,ZIP3,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED,DIST
120,11070,M4P,196.0,3.0,848,84.83333333333333,3,1,81.336
120,11112,M2N,196.0,1.0,810,81.0,1,1,80.095
120,11210,L0S,196.0,2.0,882,88.0,2,1,79.807
120,11199,L8R,196.0,1.0,923,90.0,1,1,5.061
120,10309,,196.0,7.0,882,86.4,2,0,
119,10980,P0L,196.0,1.0,927,92.33333333333333,1,1,769.7
120,10348,P1B,196.0,2.0,820,82.0,2,1,398.546
119,10771,L2M,196.0,1.0,863,85.0,1,1,73.9
119,10767,L8N,196.0,4.0,863,86.33333333333333,4,1,5.496
120,11094,L5V,196.0,4.0,800,82.0,2,0,48.809
119,10341,L5M,196.0,3.0,812,79.83333333333333,3,1,44.036
119,10215,L9B,196.0,1.0,850,85.0,1,1,14.672
120,10215,L9A,196.0,1.0,847,84.66666666666667,1,1,8.381
119,10775,N0A,196.0,1.0,862,84.16666666666667,1,1,44.386
120,10775,L0R,196.0,2.0,808,80.83333333333333,2,1,58.645
120,10775,N1A,196.0,1.0,928,92.83333333333333,1,1,63.83
119,10292,P6A,196.0,1.0,888,87.66666666666667,1,1,734.777
120,10538,P4N,196.0,5.0,878,84.0,5,1,743.517
120,10215,L9B,196.0,1.0,898,87.83333333333333,1,1,14.672
120,10215,L9C,196.0,1.0,845,83.5,1,1,6.603
119,10215,L9C,196.0,1.0,920,92.0,1,1,6.603
120,10384,L0S,196.0,1.0,923,90.66666666666667,1,1,79.807
120,10603,L8T,196.0,1.0,848,84.66666666666667,1,1,18.881
120,10245,L4G,196.0,1.0,927,92.0,1,1,119.227
120,10215,L9B,196.0,1.0,883,87.33333333333333,1,1,14.672
119,11164,L2H,196.0,6.0,912,90.83333333333333,6,1,85.419
119,10709,L8E,196.0,1.0,832,83.16666666666667,3,0,34.328
119,11158,M4R,196.0,2.0,910,91.0,2,1,91.6
119,10867,N0N,196.0,1.0,862,83.66666666666667,1,1,202.893
120,10215,L9B,196.0,1.0,950,91.5,1,1,14.672
120,10550,L0H,196.0,2.0,820,81.83333333333333,2,1,123.726
120,10379,L3P,196.0,3.0,920,92.0,3,1,106.86
120,10215,L8S,196.0,4.0,800,81.0,3,0,0.836
120,10674,L8J,196.0,1.0,903,90.33333333333333,1,1,27.328
120,11054,M4G,196.0,2.0,870,87.0,2,1,79.543
119,10240,L0L,196.0,1.0,870,86.16666666666667,1,1,172.542
119,10452,N3W,196.0,1.0,872,82.16666666666667,1,1,28.402
120,10364,K7C,196.0,2.0,930,91.16666666666667,2,1,421.193
120,10215,L9C,196.0,1.0,848,82.66666666666667,1,1,6.603
120,10639,L5M,196.0,2.0,803,80.33333333333333,2,1,44.036
119,10918,M9A,196.0,2.0,915,91.0,2,1,61.478
120,10523,N5P,196.0,2.0,835,83.5,2,1,135.109
120,11194,L6A,196.0,2.0,835,82.16666666666667,2,1,93.662
120,11049,L8K,196.0,3.0,855,85.5,3,1,12.637
120,11059,L3M,196.0,2.0,853,85.33333333333333,2,1,44.362
120,11024,L9G,196.0,1.0,955,93.66666666666667,1,1,15.182
120,11024,L9K,196.0,1.0,853,86.83333333333333,1,1,9.638
120,10530,N1R,196.0,1.0,830,83.0,1,1,37.191
120,10452,N3W,196.0,3.0,908,89.16666666666667,3,1,28.402
120,10850,K7P,196.0,1.0,948,94.83333333333333,1,1,322.041
120,11236,L5V,196.0,1.0,862,86.16666666666667,1,1,48.809
120,11164,,196.0,1.0,848,83.16666666666667,1,1,
120,10215,L8W,196.0,1.0,850,85.0,1,1,18.526
120,11164,L0S,196.0,1.0,913,90.33333333333333,4,0,79.807
120,10709,L8G,196.0,1.0,860,86.0,1,1,30.775
119,10557,L6L,196.0,3.0,902,90.16666666666667,3,1,26.523
120,10757,L4E,196.0,2.0,875,87.5,2,1,111.505
120,10709,L8G,196.0,1.0,840,84.0,1,1,30.775
120,10386,M4C,196.0,3.0,813,81.0,3,1,80.155
120,10755,L6J,196.0,3.0,853,79.66666666666667,3,1,36.619
120,10550,L4A,196.0,3.0,915,91.5,3,1,123.555
120,10347,M3A,196.0,1.0,937,89.0,1,1,84.442
120,10379,M4L,196.0,3.0,875,86.5,3,1,73.8
120,10227,N0M,196.0,2.0,838,82.66666666666667,2,1,156.952
