GEND,SCHOOL,ZIP3,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED,DIST
120,11140,M3H,196.0,5.0,852,83.66666666666667,5,1,77.395
120,11140,M3H,194.0,7.0,908,90.83333333333333,5,0,77.395
120,10527,M1G,190.0,2.0,885,85.0,15,0,95.913
119,11140,M3H,194.0,1.0,925,92.5,3,0,77.395
120,11140,M3H,194.0,1.0,878,87.5,6,0,77.395
120,10246,M5A,194.0,1.0,875,87.5,3,0,70.198
120,10297,N0K,178.0,1.0,820,81.0,5,0,123.468
120,10533,N5Z,179.0,2.0,830,83.0,1,0,123.197
120,10991,L3S,193.0,3.0,780,78.0,6,0,105.996
120,11205,L3M,191.0,1.0,867,86.5,6,0,44.362
120,10991,M1W,179.0,3.0,830,83.0,2,0,90.18
120,10302,L6M,196.0,2.0,882,86.16666666666667,2,1,29.132
120,10267,L7E,178.0,1.0,860,86.0,2,0,88.087
120,10321,M2K,194.0,1.0,832,83.16666666666667,3,0,80.391
119,10214,L0P,196.0,2.0,932,91.83333333333333,2,1,44.676
120,10213,N3W,178.0,1.0,937,92.83333333333333,2,0,28.402
120,10331,L5N,190.0,2.0,793,79.33333333333333,3,0,47.066
120,11009,M4Y,194.0,1.0,863,85.16666666666667,4,0,70.66
120,10532,M6P,193.0,1.0,943,94.33333333333333,3,0,63.7
120,10532,M6P,178.0,4.0,953,95.33333333333333,3,0,63.7
119,11148,L5M,196.0,1.0,885,88.5,1,1,44.036
120,11112,L3T,190.0,2.0,808,79.83333333333333,1,0,96.043
119,11145,N6A,178.0,1.0,972,95.5,5,0,129.213
120,11140,M3H,178.0,2.0,922,92.16666666666667,1,0,77.395
120,11199,L8R,193.0,4.0,830,83.0,3,0,5.061
120,11199,L8R,193.0,3.0,848,84.83333333333333,4,0,5.061
120,10214,L8S,197.0,3.0,820,82.0,4,0,0.836
120,10331,L5N,181.0,1.0,878,80.33333333333333,4,0,47.066
120,11140,M3H,196.0,7.0,858,85.16666666666667,7,1,77.395
120,11140,M3H,196.0,5.0,853,85.33333333333333,5,1,77.395
120,11140,M3H,194.0,2.0,865,86.5,7,0,77.395
120,11066,N4T,179.0,1.0,968,96.0,3,0,78.031
120,10737,N1E,196.0,2.0,878,86.5,2,1,50.384
120,11140,M3H,194.0,1.0,890,89.0,4,0,77.395
119,10628,N0H,178.0,3.0,925,89.66666666666667,4,0,198.367
120,11145,N6A,194.0,1.0,950,94.0,2,0,129.213
120,10273,L5B,178.0,1.0,918,87.16666666666667,2,0,49.865
120,11199,L8R,178.0,2.0,948,94.83333333333333,3,0,5.061
119,11199,L8R,178.0,2.0,882,88.16666666666667,4,0,5.061
120,10628,N0H,178.0,1.0,910,88.16666666666667,3,0,198.367
120,11145,N6A,194.0,1.0,893,86.83333333333333,3,0,129.213
120,10324,L4W,194.0,1.0,933,99.0,3,0,54.851
120,10410,L5K,178.0,2.0,925,91.83333333333333,6,0,41.652
120,11140,M3H,194.0,1.0,925,92.5,5,0,77.395
120,11219,N3A,196.0,2.0,842,84.16666666666667,2,1,82.268
119,11219,N3A,196.0,2.0,828,82.83333333333333,2,1,82.268
119,11219,N3A,178.0,3.0,908,90.83333333333333,4,0,82.268
120,11219,N3A,178.0,3.0,932,93.16666666666667,4,0,82.268
120,10917,N1M,191.0,1.0,848,84.33333333333333,3,0,75.439
119,10383,K7P,191.0,4.0,880,88.0,6,0,322.041
120,10532,M6P,178.0,3.0,952,95.16666666666667,2,0,63.7
120,11168,K1L,191.0,1.0,958,95.33333333333333,4,0,520.91
119,10580,K0H,178.0,1.0,945,93.83333333333333,2,0,339.69
120,11090,L4J,196.0,4.0,813,82.2,4,1,89.771
120,10324,L6M,193.0,1.0,830,91.0,4,0,29.132
119,10990,K9K,178.0,1.0,930,93.0,3,0,201.097
120,10528,N1L,178.0,1.0,890,87.66666666666667,3,0,43.773
120,10235,L2A,196.0,1.0,842,84.16666666666667,1,1,112.88
119,10516,L4L,178.0,1.0,933,91.33333333333333,2,0,79.825
119,10234,K8P,196.0,2.0,948,93.66666666666667,2,1,253.935
119,10917,N1M,191.0,1.0,895,87.16666666666667,3,0,75.439
119,10711,L9W,178.0,3.0,867,84.16666666666667,2,0,120.785
120,11238,L6M,196.0,1.0,885,88.5,2,0,29.132
119,11043,L7J,191.0,1.0,912,88.16666666666667,3,0,57.919
119,10845,K0J,191.0,1.0,930,91.16666666666667,3,0,428.536
119,11140,M3H,178.0,1.0,928,92.83333333333333,4,0,77.395
119,10383,K7P,191.0,1.0,918,90.66666666666667,2,0,322.041
119,10356,L7M,196.0,1.0,828,81.33333333333333,1,1,21.165
120,10917,N1E,191.0,3.0,917,91.66666666666667,2,0,50.384
120,10611,L2S,196.0,1.0,953,95.33333333333333,1,1,72.9
120,11094,L6M,196.0,1.0,863,86.33333333333333,1,1,29.132
119,10335,L3C,178.0,1.0,907,90.5,3,0,89.2
120,11199,L8R,178.0,3.0,957,95.66666666666667,2,0,5.061
120,11199,L8R,196.0,1.0,792,79.16666666666667,1,0,5.061
119,10277,K7K,190.0,5.0,820,79.66666666666667,4,0,326.986
120,10331,L5N,196.0,1.0,837,84.4,2,0,47.066
120,10628,N0H,190.0,5.0,782,78.16666666666667,1,0,198.367
119,11149,M6H,190.0,1.0,805,79.5,4,0,65.926
120,10348,P1A,196.0,1.0,905,90.0,1,1,393.099
120,10562,L9W,193.0,6.0,742,73.33333333333333,2,0,120.785
120,10264,L0B,191.0,2.0,890,88.66666666666667,3,0,165.539
120,10218,L4C,196.0,2.0,817,80.83333333333333,2,1,96.7
120,11199,L8R,193.0,4.0,842,84.16666666666667,3,0,5.061
119,11140,M3H,178.0,1.0,963,95.16666666666667,3,0,77.395
120,10648,K8P,196.0,3.0,882,80.0,3,1,253.935
119,10750,L9N,196.0,2.0,958,94.66666666666667,2,1,122.993
119,10429,L6H,178.0,2.0,903,89.5,3,0,35.959
120,10324,L5V,199.0,5.0,798,90.0,1,0,48.809
120,10258,L3C,196.0,1.0,803,86.0,1,1,89.2
120,10258,L2A,181.0,5.0,787,88.0,3,0,112.88
120,10387,M4T,191.0,1.0,903,90.33333333333333,4,0,79.178
