YEAR,RECNO,SCHOOL,SBOARD,REGBOARD,CNTYBOARD,GEND,BIRTHY,RESPROV,RESCNTY,ZIP3,RESCOUNT,RESRGN,STATUS,CIT,CITRGN,LANG,APPCAT,CONFUNI,CONFPR,CONFPRG,CONLEV,CONFT,CONFCHOIC,REGUNI,REGPR,REGPRG,REGLEV,REGT,REGCHOIC,SECORCOD1,SECORC1,SECORM1,SECORCOD2,SECORC2,SECORM2,SECORCOD3,SECORC3,SECORM3,SECORCOD4,SECORC4,SECORM4,SECORCOD5,SECORC5,SECORM5,SECORCOD6,SECORC6,SECORM6,SECORCOD7,SECORC7,SECORM7,SECORCOD8,SECORC8,SECORM8,SECORCOD9,SECORC9,SECORM9,SECORCOD10,SECORC10,SECORM10,SECORCOD11,SECORC11,SECORM11,SECORCOD12,SECORC12,SECORM12,YRSSCH,NOAC,TOTOAC,WAVERG1,WAVERG2,MOI,CHOIC1,DUNI1,DPRO1,DPG1,DFS1,DENR1,DMAJ1,DCOOP1,DLEV1,UDEC1,PRO1,PRGO1,DENRD1,DLEVD1,CONIND1,REGIND1,CHOIC2,DUNI2,DPRO2,DPG2,DFS2,DENR2,DMAJ2,DCOOP2,DLEV2,UDEC2,PRO2,PRGO2,DENRD2,DLEVD2,CONIND2,REGIND2,CHOIC3,DUNI3,DPRO3,DPG3,DFS3,DENR3,DMAJ3,DCOOP3,DLEV3,UDEC3,PRO3,PRGO3,DENRD3,DLEVD3,CONIND3,REGIND3,CHOIC4,DUNI4,DPRO4,DPG4,DFS4,DENR4,DMAJ4,DCOOP4,DLEV4,UDEC4,PRO4,PRGO4,DENRD4,DLEVD4,CONIND4,REGIND4,CHOIC5,DUNI5,DPRO5,DPG5,DFS5,DENR5,DMAJ5,DCOOP5,DLEV5,UDEC5,PRO5,PRGO5,DENRD5,DLEVD5,CONIND5,REGIND5,CHOIC6,DUNI6,DPRO6,DPG6,DFS6,DENR6,DMAJ6,DCOOP6,DLEV6,UDEC6,PRO6,PRGO6,DENRD6,DLEVD6,CONIND6,REGIND6,CHOIC7,DUNI7,DPRO7,DPG7,DFS7,DENR7,DMAJ7,DCOOP7,DLEV7,UDEC7,PRO7,PRGO7,DENRD7,DLEVD7,CONIND7,REGIND7,CHOIC8,DUNI8,DPRO8,DPG8,DFS8,DENR8,DMAJ8,DCOOP8,DLEV8,UDEC8,PRO8,PRGO8,DENRD8,DLEVD8,CONIND8,REGIND8,CHOIC9,DUNI9,DPRO9,DPG9,DFS9,DENR9,DMAJ9,DCOOP9,DLEV9,UDEC9,PRO9,PRGO9,DENRD9,DLEVD9,CONIND9,REGIND9,CHOIC10,DUNI10,DPRO10,DPG10,DFS10,DENR10,DMAJ10,DCOOP10,DLEV10,UDEC10,PRO10,PRGO10,DENRD10,DLEVD10,CONIND10,REGIND10,CHOIC11,DUNI11,DPRO11,DPG11,DFS11,DENR11,DMAJ11,DCOOP11,DLEV11,UDEC11,PRO11,PRGO11,DENRD11,DLEVD11,CONIND11,REGIND11,CHOIC12,DUNI12,DPRO12,DPG12,DFS12,DENR12,DMAJ12,DCOOP12,DLEV12,UDEC12,PRO12,PRGO12,DENRD12,DLEVD12,CONIND12,REGIND12,CHOIC13,DUNI13,DPRO13,DPG13,DFS13,DENR13,DMAJ13,DCOOP13,DLEV13,UDEC13,PRO13,PRGO13,DENRD13,DLEVD13,CONIND13,REGIND13,CHOIC14,DUNI14,DPRO14,DPG14,DFS14,DENR14,DMAJ14,DCOOP14,DLEV14,UDEC14,PRO14,PRGO14,DENRD14,DLEVD14,CONIND14,REGIND14,CHOIC15,DUNI15,DPRO15,DPG15,DFS15,DENR15,DMAJ15,DCOOP15,DLEV15,UDEC15,PRO15,PRGO15,DENRD15,DLEVD15,CONIND15,REGIND15,CHOIC16,DUNI16,DPRO16,DPG16,DFS16,DENR16,DMAJ16,DCOOP16,DLEV16,UDEC16,PRO16,PRGO16,DENRD16,DLEVD16,CONIND16,REGIND16,CHOIC17,DUNI17,DPRO17,DPG17,DFS17,DENR17,DMAJ17,DCOOP17,DLEV17,UDEC17,PRO17,PRGO17,DENRD17,DLEVD17,CONIND17,REGIND17,CHOIC18,DUNI18,DPRO18,DPG18,DFS18,DENR18,DMAJ18,DCOOP18,DLEV18,UDEC18,PRO18,PRGO18,DENRD18,DLEVD18,CONIND18,REGIND18,CHOIC19,DUNI19,DPRO19,DPG19,DFS19,DENR19,DMAJ19,DCOOP19,DLEV19,UDEC19,PRO19,PRGO19,DENRD19,DLEVD19,CONIND19,REGIND19,CHOIC20,DUNI20,DPRO20,DPG20,DFS20,DENR20,DMAJ20,DCOOP20,DLEV20,UDEC20,PRO20,PRGO20,DENRD20,DLEVD20,CONIND20,REGIND20
2010,831401,11219,7010,6007,5007,119,1993,125,137,N3A,20042,210,2,20025,203,1,1,192,TII,274,1,F,3,192,TII,274,1,F,3,ENG4U,100,70,MCV4U,100,75,MHF4U,100,72,SBI4U,100,70,SCH4U,100,68,SPH4U,100,70,,,,,,,,,,,,,,,,,,,1,6,600,0,708,,1,197,VNB,274,1,F,,,1,2,,300,,,N,N,2,196,SI,274,1,F,94593,,1,2,,300,,,N,N,3,192,TII,274,1,F,99963,,1,1,TII,274,F,1,Y,Y,4,181,YPI,277,1,F,,,1,1,YPI,277,F,1,N,N,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,
2010,831400,11219,7010,6007,5007,119,1994,125,137,N3A,20042,210,2,20025,203,1,1,192,TII,274,1,F,4,192,TNP,279,1,F,4,ENG4U,100,80,ICS4M,100,61,MCV4U,100,52,MHF4U,100,70,SCH4U,100,66,SPH4U,100,58,,,,,,,,,,,,,,,,,,,1,6,600,645,645,,1,197,VID,274,1,F,,1,1,2,,300,,,N,N,2,196,SI,274,1,F,99719,,1,2,,300,,,N,N,3,181,YIK,274,1,F,,,1,1,YIK,274,F,1,N,N,4,192,TII,274,1,F,99719,,1,1,TII,274,F,1,Y,Y,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,
2010,831393,11219,7010,6007,5007,120,1992,125,137,N3A,20042,210,2,20025,203,1,1,191,ZI,274,1,F,2,191,ZI,274,1,F,2,ENG4U,100,77,MCV4U,100,93,MHF4U,100,92,SBI4U,100,82,SCH4U,100,88,SPH4U,100,84,,,,,,,,,,,,,,,,,,,1,6,600,0,860,,1,194,OS,274,1,F,98648,,1,1,OS,274,F,1,N,N,2,191,ZI,274,1,F,94598,,1,1,ZI,274,F,1,Y,Y,3,178,KKU,274,1,F,,1,1,2,,300,,,N,N,4,196,SI,274,1,F,99719,,1,1,SI,274,F,1,N,N,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,
2010,831391,11219,7010,6007,5007,120,1992,125,137,N3A,20042,210,2,20025,203,1,1,178,KKW,274,1,F,3,178,KKW,274,1,F,3,ENG4U,100,93,ICS4M,100,81,MCV4U,100,90,MHF4U,100,95,SCH4U,100,92,SPH4U,100,85,,,,,,,,,,,,,,,,,,,1,6,600,0,893,,1,194,OI,274,1,F,97742,,1,2,,300,,,N,N,2,191,ZI,274,1,F,97958,,1,2,,300,,,N,N,3,178,KKW,274,1,F,,1,1,1,KKW,274,F,1,Y,Y,4,196,SI,274,1,F,97954,,1,1,SI,274,F,1,N,N,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,
2010,831438,11219,7010,6007,5007,120,1992,125,137,N3A,20042,210,2,20025,203,1,1,196,SIA,274,1,F,2,196,SIA,274,1,F,2,ENG4U,100,81,MCV4U,100,82,MHF4U,100,87,SBI4U,100,86,SCH4U,100,88,SPH4U,100,82,,,,,,,,,,,,,,,,,,,1,6,600,0,843,,1,179,II,274,1,F,97954,,1,2,,300,,,N,N,2,196,SIA,274,1,F,94964,1,1,1,SIA,274,F,1,Y,Y,3,194,OI,274,1,F,97742,,1,1,OI,274,F,1,N,N,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,
2010,831423,10297,7034,6028,5028,120,1992,125,160,N0J,20042,210,1,20033,204,1,1,178,KY,274,1,F,1,,,300,,,,ENG4U,100,81,HRE4M,100,85,MCV4U,100,89,MDM4U,100,,MHF4U,100,90,SCH4U,100,87,SPH4U,100,86,TDJ4M,100,89,,,,,,,,,,,,,4,7,700,862,877,,1,178,KSO,274,1,F,,1,1,1,KY,274,F,1,Y,N,2,196,SIA,274,1,F,98648,1,1,1,SIA,274,F,1,N,N,3,181,YIA,274,1,F,,,1,1,YIA,274,F,1,N,N,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,
2010,831420,11238,7010,6032,5032,120,1990,125,164,L8S,20042,210,2,20094,201,3,1,181,YII,274,1,F,3,181,YII,274,1,F,3,ENG4U,100,70,MCV4U,100,96,MDM4U,100,74,MHF4U,100,96,SCH4U,100,78,SPH4U,100,78,,,,,,,,,,,,,,,,,,,2,6,600,0,820,,1,196,SIA,274,1,F,94590,1,1,1,SIA,274,F,1,N,N,2,199,AII,274,1,F,,1,1,2,,300,,,N,N,3,181,YII,274,1,F,,,1,1,YII,274,F,1,Y,Y,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,
2010,831424,10526,7053,6013,5013,120,1989,125,143,M4A,20042,210,1,20028,201,1,1,178,KS,235,1,W,1,178,KS,235,2,F,1,ENG4U,100,77,IDC4U,100,90,MCV4U,100,92,MHF4U,100,92,SCH4U,100,86,SPH4U,100,81,,,,,,,,,,,,,,,,,,,1,6,600,0,863,,1,178,KS,235,1,W,99998,1,1,1,KS,235,W,1,Y,Y,2,175,GPB,274,1,W,,,1,1,GPB,274,W,1,N,N,3,178,KKU,274,1,F,,1,1,2,,300,,,N,N,4,194,OS,274,1,F,98648,,1,1,OPX,277,F,1,N,N,5,196,SIA,274,1,F,99719,1,1,1,SIA,274,F,1,N,N,6,190,PSK,274,1,F,,,1,1,PSK,274,F,1,N,N,7,190,PHH,274,1,F,,,1,1,PHH,274,F,1,N,N,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,
2010,831407,11148,7007,6014,5014,120,1991,125,144,L5L,20042,210,0,20131,211,1,1,175,GPC,274,1,W,3,,,300,,,,ENG4U,100,85,ICE4M,100,90,LYADU,100,90,MCV4U,100,88,MHF4U,100,81,SCH4U,100,70,SPH4U,100,83,TGJ4M,100,93,,,,,,,,,,,,,5,8,800,0,882,,1,196,SIA,274,1,F,97958,1,1,1,SIA,274,F,1,N,N,2,190,PAI,274,1,F,,,1,1,PAI,274,F,1,N,N,3,175,GPC,274,1,W,,,1,1,GPC,274,W,1,Y,N,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,
2010,831360,11144,7007,6013,5013,120,1986,125,143,M3A,20042,210,1,20102,207,3,1,178,KKU,274,1,F,2,178,KKU,274,1,F,2,ENG4U,100,84,LYGDU,100,96,MCV4U,100,95,MHF4U,100,87,SCH4U,100,94,SPH4U,100,85,,,,,,,,,,,,,,,,,,,5,6,600,0,902,,1,196,SI,274,1,F,94590,,1,1,SI,274,F,1,N,N,2,178,KKU,274,1,F,,1,1,1,KKU,274,F,1,Y,Y,3,193,RCI,274,1,W,,1,1,1,RCI,274,F,1,N,N,4,175,GPM,277,1,S,,,1,2,,300,,,N,N,5,175,GPB,274,1,W,,,1,1,GPB,274,W,1,N,N,6,175,GPC,274,1,W,,,1,1,GPC,274,W,1,N,N,7,190,PAV,274,1,F,,,1,2,,300,,,N,N,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,
