GEND,SCHOOL,ZIP3,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED,DIST
120,11219,N3A,196.0,2.0,843,84.33333333333333,2,1,82.268
119,10711,L9W,196.0,1.0,970,96.33333333333333,1,1,120.785
120,11199,L8R,196.0,3.0,863,86.33333333333333,3,1,5.061
120,11160,M2J,196.0,3.0,865,86.5,3,1,85.743
120,10503,N0E,196.0,2.0,900,88.0,2,1,78.822
120,10817,N0M,196.0,1.0,905,90.5,1,1,156.952
120,10350,L0G,196.0,1.0,935,91.83333333333333,4,0,111.191
120,10596,N3Y,196.0,2.0,858,83.33333333333333,2,1,82.324
120,10527,M5R,196.0,3.0,908,93.8,3,1,70.068
119,10424,N0P,196.0,1.0,943,97.0,2,0,236.071
120,10258,L3C,196.0,2.0,883,95.0,2,1,89.2
120,10375,N1R,196.0,3.0,900,88.33333333333333,3,1,37.191
120,10375,N1P,196.0,2.0,880,87.5,2,1,35.753
120,10528,N1L,196.0,3.0,943,92.5,5,0,43.773
120,10410,L5J,196.0,1.0,750,75.0,1,0,38.646
120,11199,L8R,196.0,2.0,832,83.16666666666667,2,1,5.061
120,11199,L8R,196.0,3.0,837,83.66666666666667,3,1,5.061
120,10759,N0G,196.0,1.0,957,95.66666666666667,1,1,136.481
119,10384,L2M,196.0,1.0,922,92.16666666666667,1,1,73.9
120,10318,L2N,196.0,1.0,877,87.66666666666667,1,1,69.576
120,11059,L0R,196.0,1.0,898,89.83333333333333,1,1,58.645
120,10429,L6H,196.0,1.0,857,85.66666666666667,1,1,35.959
119,10727,N3C,196.0,2.0,922,92.16666666666667,2,1,48.89
120,10486,N4K,196.0,1.0,913,90.66666666666667,1,1,213.801
120,11209,L0R,196.0,1.0,875,86.33333333333333,1,1,58.645
119,10702,L4M,196.0,1.0,950,92.5,1,1,154.139
120,10727,N3C,196.0,3.0,825,71.5,3,0,48.89
120,10302,L6M,196.0,1.0,900,90.0,1,1,29.132
120,11194,L4G,196.0,1.0,872,86.33333333333333,1,1,119.227
120,10250,N0N,196.0,1.0,890,88.83333333333333,1,1,202.893
120,10972,L9Y,196.0,1.0,872,83.33333333333333,1,1,182.004
120,10594,L8L,196.0,2.0,873,81.0,1,0,7.135
