GEND,SCHOOL,ZIP3,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED
120,10342,M1J,196.0,5.0,920,90.66666666666667,5,1
120,10607,K2S,196.0,2.0,873,85.5,2,1
119,10440,M4P,196.0,2.0,953,94.16666666666667,2,1
120,11144,L8N,196.0,1.0,857,83.33333333333333,3,0
120,10806,L2A,196.0,1.0,833,83.0,1,0
120,11090,L4J,196.0,4.0,872,87.0,4,1
120,10252,L5N,196.0,3.0,945,89.33333333333333,3,1
120,10258,L3C,196.0,1.0,932,16.5,1,1
120,11224,L5M,196.0,3.0,857,85.66666666666667,3,1
120,10905,N2C,196.0,1.0,867,86.66666666666667,1,1
120,10211,L6A,196.0,1.0,885,88.5,1,1
120,10215,L9B,196.0,1.0,912,91.16666666666667,1,1
119,11100,L5C,196.0,1.0,910,91.0,1,1
119,10573,N0M,196.0,2.0,817,81.66666666666667,2,0
120,11024,L9K,196.0,2.0,850,85.0,2,1
120,10250,N0M,196.0,1.0,845,84.5,1,1
119,10341,L5M,196.0,1.0,942,93.66666666666667,1,1
120,10213,L9B,196.0,3.0,913,89.66666666666667,2,0
120,10758,K7K,196.0,1.0,950,95.0,1,1
119,11091,L5N,196.0,2.0,887,87.5,1,0
120,10598,L9C,196.0,1.0,930,91.33333333333333,1,1
120,10282,L6Y,196.0,3.0,838,82.66666666666667,3,1
119,10598,L9C,196.0,2.0,892,84.0,3,0
120,11145,N6A,196.0,1.0,818,81.83333333333333,3,0
120,11145,N6G,196.0,2.0,878,87.83333333333333,2,1
119,11145,N6A,196.0,2.0,885,85.83333333333333,2,1
120,10341,L5M,196.0,1.0,838,83.83333333333333,1,1
120,11245,L8W,196.0,1.0,923,91.5,1,1
120,11168,K1M,196.0,7.0,823,80.16666666666667,4,0
120,10808,N2N,196.0,3.0,788,78.83333333333333,3,0
120,10331,L5N,196.0,1.0,945,93.33333333333333,1,1
120,10345,M2N,196.0,1.0,878,87.33333333333333,1,1
120,10335,L0S,196.0,2.0,895,88.0,2,1
120,10775,L0R,196.0,1.0,913,91.33333333333333,1,1
120,11219,N3A,196.0,2.0,872,87.16666666666667,2,1
120,10335,L3C,196.0,1.0,882,88.16666666666667,1,1
119,11219,N3A,196.0,2.0,872,84.66666666666667,2,1
120,10316,L4Z,196.0,2.0,903,90.16666666666667,2,1
120,11024,L9B,196.0,1.0,863,83.83333333333333,1,1
120,10722,N0N,196.0,1.0,782,74.66666666666667,2,0
120,10775,L7N,196.0,2.0,875,87.5,2,1
120,10700,N4K,196.0,1.0,935,93.33333333333333,1,1
120,10771,L0S,196.0,1.0,817,81.5,2,0
120,10819,N0H,196.0,1.0,893,89.33333333333333,1,1
120,10390,L3Z,196.0,5.0,852,85.16666666666667,5,1
120,10410,L5J,196.0,3.0,873,86.33333333333333,3,1
120,11245,L8W,196.0,1.0,858,84.66666666666667,1,1
120,10282,L6Y,196.0,3.0,918,90.16666666666667,3,1
119,11245,L8W,196.0,1.0,813,78.83333333333333,1,0
120,10528,N1C,196.0,4.0,882,88.16666666666667,4,1
120,11059,L0R,196.0,2.0,907,90.66666666666667,2,1
119,10881,P6B,196.0,1.0,892,88.5,1,1
120,10299,N1E,196.0,3.0,857,83.66666666666667,3,1
120,10324,L6X,196.0,4.0,850,15.166666666666666,4,1
119,10540,L9P,196.0,1.0,892,89.16666666666667,1,1
120,10402,K2W,196.0,2.0,900,89.16666666666667,2,1
120,11062,L7E,196.0,3.0,925,88.66666666666667,3,1
120,10455,L1B,196.0,2.0,788,72.33333333333333,2,0
120,11245,L8T,196.0,3.0,940,92.66666666666667,3,1
120,10301,L5L,196.0,2.0,910,89.83333333333333,2,1
