GEND,SCHOOL,ZIP3,CONFUNI,CONFPR,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED
119,11219,O4B,193.0,RIA,1.0,960,96.0,3,0
120,10942,L3F,,,,797,78.16666666666667,7,0
120,11148,M6N,175.0,GUY,1.0,0,53.5,6,0
120,11238,M9O,199.0,AIW,2.0,765,76.5,1,0
120,10246,N2M,194.0,OI,1.0,873,-1.0,3,0
120,11070,N5Q,196.0,SIA,3.0,848,84.83333333333333,3,1
119,11238,M9O,191.0,ZI,2.0,937,88.16666666666667,3,0
119,11168,L3H,178.0,KXH,1.0,955,94.5,3,0
120,10264,M1C,178.0,KKW,1.0,850,85.0,2,0
120,11199,M9S,194.0,ON,1.0,883,88.33333333333333,3,0
120,10297,O1N,178.0,KKU,2.0,898,89.16666666666667,1,0
120,11112,N3O,196.0,SI,1.0,810,81.0,1,1
120,11199,M9S,199.0,AIP,3.0,922,92.16666666666667,1,0
120,11238,,178.0,KKW,2.0,855,85.5,3,0
120,11199,M9S,199.0,AIW,2.0,802,80.16666666666667,5,0
120,10309,N0N,194.0,OSK,3.0,803,80.33333333333333,2,0
120,11210,M1S,178.0,KKU,1.0,885,85.33333333333333,2,0
120,11210,M1T,196.0,SI,2.0,882,88.0,2,1
119,11005,M6F,194.0,ON,2.0,862,85.16666666666667,3,0
120,11099,N3O,178.0,KKW,2.0,813,81.33333333333333,3,0
120,11148,M6N,178.0,KKU,1.0,900,90.0,2,0
120,11199,M9S,196.0,SIA,1.0,923,90.0,1,1
119,10863,O5X,194.0,OD,1.0,952,94.0,2,0
119,10353,N6O,191.0,ZI,1.0,893,87.83333333333333,4,0
120,10309,,196.0,SF,7.0,882,72.0,2,1
120,10518,O1N,197.0,VNB,1.0,860,84.66666666666667,3,0
120,10459,O3L,178.0,KKW,1.0,818,81.83333333333333,3,0
120,10628,O1I,178.0,KKC,1.0,828,82.16666666666667,3,0
120,11210,M3T,190.0,PMX,1.0,752,72.66666666666667,10,0
120,11199,M9S,,,,0,-1.0,1,0
120,10335,M4D,179.0,II,6.0,877,86.33333333333333,3,0
120,10657,L0K,,,,828,82.33333333333333,3,0
120,11168,L2D,199.0,AIA,1.0,765,74.0,5,0
119,10980,Q1M,196.0,SIA,1.0,927,92.33333333333333,1,1
120,10528,O2H,178.0,KY,1.0,893,86.5,2,0
120,10917,O1C,178.0,KSO,1.0,938,92.5,2,0
120,10739,O1K,178.0,KKU,1.0,848,82.0,3,0
120,10348,Q2C,199.0,AIN,1.0,785,76.0,3,0
120,10348,Q2C,196.0,SIA,2.0,820,82.0,2,1
119,10771,M3N,196.0,SI,1.0,863,85.0,1,1
119,10273,,194.0,OXV,2.0,902,87.5,6,0
120,10528,O2H,194.0,OD,1.0,923,91.16666666666667,4,0
119,10767,M9O,196.0,SIA,4.0,863,86.33333333333333,4,1
