GEND,SCHOOL,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED
120,11140,196.0,5.0,852,83.66666666666667,5,1
120,11140,194.0,7.0,908,90.83333333333333,5,0
120,10527,190.0,2.0,885,70.83333333333333,15,0
119,11140,194.0,1.0,925,92.5,3,0
120,10321,178.0,1.0,823,82.33333333333333,8,0
120,11140,194.0,1.0,878,87.5,6,0
120,10246,194.0,1.0,875,87.5,3,0
120,10297,178.0,1.0,820,81.0,5,0
120,10533,179.0,2.0,830,83.0,1,0
120,10991,193.0,3.0,780,78.0,6,0
120,11205,191.0,1.0,867,86.5,6,0
120,10991,179.0,3.0,830,83.0,2,0
120,10302,196.0,2.0,882,86.16666666666667,2,1
120,10267,178.0,1.0,860,86.0,2,0
120,10321,194.0,1.0,832,83.16666666666667,3,0
119,10214,196.0,2.0,932,91.83333333333333,2,1
120,10213,178.0,1.0,937,92.83333333333333,2,0
120,10331,190.0,2.0,793,79.33333333333333,3,0
120,11009,194.0,1.0,863,85.16666666666667,4,0
120,10532,193.0,1.0,943,94.33333333333333,3,0
120,10532,178.0,4.0,953,95.33333333333333,3,0
119,11148,196.0,1.0,885,88.5,1,1
120,11112,190.0,2.0,808,79.83333333333333,1,0
119,11145,178.0,1.0,972,95.5,5,0
120,11140,178.0,2.0,922,92.16666666666667,1,0
120,11199,193.0,4.0,830,83.0,3,0
120,11199,193.0,3.0,848,84.83333333333333,4,0
120,10214,197.0,3.0,820,82.0,4,0
120,10331,181.0,1.0,878,80.33333333333333,4,0
120,11140,196.0,7.0,858,85.16666666666667,7,1
120,11140,196.0,5.0,853,85.33333333333333,5,1
120,11140,194.0,2.0,865,86.5,7,0
120,11066,179.0,1.0,968,96.0,3,0
120,10737,196.0,2.0,878,86.5,2,1
120,11140,194.0,1.0,890,89.0,4,0
119,10628,178.0,3.0,925,89.66666666666667,4,0
120,11145,194.0,1.0,950,94.0,2,0
120,10273,178.0,1.0,918,87.16666666666667,2,0
120,11199,178.0,2.0,948,94.83333333333333,3,0
119,11199,178.0,2.0,882,88.16666666666667,4,0
120,10628,178.0,1.0,910,88.16666666666667,3,0
120,11145,194.0,1.0,893,86.83333333333333,3,0
120,10324,194.0,1.0,933,16.5,3,0
120,10410,178.0,2.0,925,91.83333333333333,6,0
120,11140,194.0,1.0,925,92.5,5,0
120,11219,196.0,2.0,842,84.16666666666667,2,1
119,11219,196.0,2.0,828,82.83333333333333,2,1
119,11219,178.0,3.0,908,90.83333333333333,4,0
