GEND,SCHOOL,ZIP3,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED
119,10295,N8N,177.0,2.0,862,84.5,3,0
120,10758,K7K,178.0,2.0,892,88.33333333333333,3,0
120,11225,L4W,194.0,1.0,925,92.5,2,0
119,10381,N9E,177.0,3.0,917,88.5,1,0
120,11140,M3H,194.0,2.0,890,89.0,6,0
120,11140,M3H,194.0,1.0,875,87.5,5,0
119,10686,K7P,196.0,2.0,902,88.33333333333333,2,1
119,10842,P0T,191.0,1.0,940,93.5,2,0
120,10613,L3X,191.0,1.0,938,91.83333333333333,3,0
120,10687,N1T,176.0,6.0,777,77.16666666666667,2,0
120,10943,M6B,194.0,1.0,925,92.5,4,0
119,11091,L6H,194.0,1.0,908,89.33333333333333,2,0
120,10956,L1E,196.0,1.0,873,87.33333333333333,1,1
120,10648,N6G,179.0,2.0,858,85.83333333333333,3,0
119,11225,L6H,196.0,1.0,943,94.16666666666667,1,1
119,10297,N7A,196.0,1.0,902,90.16666666666667,2,0
120,11140,M3H,178.0,1.0,848,84.83333333333333,5,0
119,10413,N3Y,194.0,1.0,895,88.0,3,0
120,11185,N5A,177.0,6.0,833,81.5,2,0
120,10528,N1L,191.0,1.0,932,91.0,3,0
120,11086,L5B,194.0,1.0,967,94.16666666666667,2,0
120,11140,M3H,194.0,1.0,915,91.5,4,0
120,10273,L5K,190.0,3.0,857,83.5,4,0
120,10273,L5K,190.0,4.0,875,85.83333333333333,5,0
120,10273,L5B,194.0,5.0,917,82.16666666666667,4,0
120,10546,N5A,179.0,1.0,887,88.66666666666667,2,0
120,11145,N6A,178.0,4.0,882,88.16666666666667,1,0
120,11145,N6A,194.0,2.0,923,92.33333333333333,4,0
119,11145,N6A,178.0,4.0,898,89.83333333333333,3,0
119,11145,N6A,194.0,1.0,962,94.66666666666667,4,0
120,11145,N6A,194.0,1.0,943,94.33333333333333,5,0
120,10834,N0R,177.0,1.0,912,90.16666666666667,3,0
120,11140,M3H,194.0,2.0,935,93.5,5,0
119,11145,N6A,196.0,3.0,888,88.5,3,1
120,11145,N6A,196.0,1.0,953,93.83333333333333,1,1
119,11145,N6A,194.0,3.0,940,94.0,2,0
