GEND,SCHOOL,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED,DIST
120,11140,194.0,7.0,908,90.83333333333333,5,0,77.395
120,10527,190.0,2.0,885,85.0,15,0,95.913
119,11140,194.0,1.0,925,92.5,3,0,77.395
120,10321,178.0,1.0,823,82.33333333333333,8,0,
120,11140,194.0,1.0,878,87.5,6,0,77.395
120,11009,,,887,86.5,6,0,80.095
120,10246,194.0,1.0,875,87.5,3,0,70.198
120,11147,,,910,91.0,4,0,95.506
120,10297,178.0,1.0,820,81.0,5,0,123.468
120,10533,179.0,2.0,830,83.0,1,0,123.197
120,10991,193.0,3.0,780,78.0,6,0,105.996
120,10322,,,885,85.16666666666667,7,0,
120,11205,191.0,1.0,867,86.5,6,0,44.362
120,11140,,,872,87.16666666666667,1,0,77.395
120,10991,179.0,3.0,830,83.0,2,0,90.18
120,10267,178.0,1.0,860,86.0,2,0,88.087
120,10321,194.0,1.0,832,83.16666666666667,3,0,80.391
120,10383,,,827,82.66666666666667,2,0,273.902
120,10213,178.0,1.0,937,92.83333333333333,2,0,28.402
120,10331,190.0,2.0,793,79.33333333333333,3,0,47.066
120,11009,194.0,1.0,863,85.16666666666667,4,0,70.66
120,10532,193.0,1.0,943,94.33333333333333,3,0,63.7
120,10532,178.0,4.0,953,95.33333333333333,3,0,63.7
120,11168,,,918,85.66666666666667,1,0,522.064
119,11091,,,875,87.5,1,0,35.959
120,11112,190.0,2.0,808,79.83333333333333,1,0,96.043
119,11145,178.0,1.0,972,95.5,5,0,129.213
120,11140,178.0,2.0,922,92.16666666666667,1,0,77.395
120,10919,,,882,88.16666666666667,4,0,267.329
120,11199,193.0,4.0,830,83.0,3,0,5.061
120,11199,193.0,3.0,848,84.83333333333333,4,0,5.061
120,11145,,,620,,1,0,129.213
120,11145,,,0,81.0,2,0,129.213
120,10214,197.0,3.0,820,82.0,4,0,0.836
120,10331,181.0,1.0,878,80.33333333333333,4,0,47.066
120,11140,194.0,2.0,865,86.5,7,0,77.395
120,11066,179.0,1.0,968,96.0,3,0,78.031
120,10387,,,863,86.33333333333333,2,0,81.336
120,11145,,,787,78.66666666666667,2,0,129.213
120,11140,194.0,1.0,890,89.0,4,0,77.395
119,10628,178.0,3.0,925,89.66666666666667,4,0,198.367
120,11145,194.0,1.0,950,94.0,2,0,129.213
120,11145,,,947,92.66666666666667,6,0,129.213
120,10273,178.0,1.0,918,87.16666666666667,2,0,49.865
120,11199,178.0,2.0,948,94.83333333333333,3,0,5.061
119,11199,178.0,2.0,882,88.16666666666667,4,0,5.061
120,10628,178.0,1.0,910,88.16666666666667,3,0,198.367
120,11145,194.0,1.0,893,86.83333333333333,3,0,129.213
120,10758,,,947,94.33333333333333,3,0,329.059
120,10324,194.0,1.0,933,99.0,3,0,54.851
120,10410,178.0,2.0,925,91.83333333333333,6,0,41.652
120,11140,194.0,1.0,925,92.5,5,0,77.395
119,11219,178.0,3.0,908,90.83333333333333,4,0,82.268
120,11219,178.0,3.0,932,93.16666666666667,4,0,82.268
119,10440,,,935,92.0,4,0,86.654
120,10917,191.0,1.0,848,84.33333333333333,3,0,75.439
119,10383,191.0,4.0,880,88.0,6,0,322.041
120,10532,178.0,3.0,952,95.16666666666667,2,0,63.7
120,11168,191.0,1.0,958,95.33333333333333,4,0,520.91
119,10580,178.0,1.0,945,93.83333333333333,2,0,339.69
120,10324,193.0,1.0,830,91.0,4,0,29.132
119,10990,178.0,1.0,930,93.0,3,0,201.097
120,10528,178.0,1.0,890,87.66666666666667,3,0,43.773
119,10516,178.0,1.0,933,91.33333333333333,2,0,79.825
120,10313,194.0,1.0,927,92.0,4,0,
119,10917,191.0,1.0,895,87.16666666666667,3,0,75.439
119,10711,178.0,3.0,867,84.16666666666667,2,0,120.785
119,11043,191.0,1.0,912,88.16666666666667,3,0,57.919
119,10845,191.0,1.0,930,91.16666666666667,3,0,428.536
119,11140,178.0,1.0,928,92.83333333333333,4,0,77.395
119,10383,191.0,1.0,918,90.66666666666667,2,0,322.041
120,10917,191.0,3.0,917,91.66666666666667,2,0,50.384
120,11158,,,805,80.5,5,0,78.844
120,10743,,,752,75.16666666666667,2,0,78.031
119,10377,,,918,90.66666666666667,1,0,435.047
119,10335,178.0,1.0,907,90.5,3,0,89.2
120,11199,178.0,3.0,957,95.66666666666667,2,0,5.061
120,10387,,,958,95.66666666666667,3,0,76.107
119,10277,190.0,5.0,820,79.66666666666667,4,0,326.986
120,10313,,,857,83.33333333333333,6,0,
120,10345,,,873,84.66666666666667,4,0,78.844
120,10628,190.0,5.0,782,78.16666666666667,1,0,198.367
119,11149,190.0,1.0,805,79.5,4,0,65.926
120,10562,193.0,6.0,742,73.33333333333333,2,0,120.785
120,10313,181.0,8.0,793,76.66666666666667,6,0,
120,10264,191.0,2.0,890,88.66666666666667,3,0,165.539
120,11199,193.0,4.0,842,84.16666666666667,3,0,5.061
119,11140,178.0,1.0,963,95.16666666666667,3,0,77.395
120,10215,,,925,89.0,3,0,18.526
119,10429,178.0,2.0,903,89.5,3,0,35.959
120,10324,199.0,5.0,798,90.0,1,0,48.809
120,10258,181.0,5.0,787,88.0,3,0,112.88
120,10387,191.0,1.0,903,90.33333333333333,4,0,79.178
120,10498,178.0,1.0,873,87.33333333333333,4,0,122.771
120,11148,190.0,1.0,843,84.33333333333333,3,0,56.209
120,10451,178.0,1.0,887,88.0,2,0,67.694
119,10771,199.0,1.0,938,93.5,2,0,69.576
120,10264,181.0,1.0,930,93.0,3,0,142.509
120,10328,,,753,75.33333333333333,3,0,51.736
120,10771,191.0,1.0,943,93.5,2,0,73.9
120,10363,194.0,1.0,987,98.66666666666667,3,0,94.663
119,10273,194.0,2.0,918,91.83333333333333,4,0,49.865
120,10327,178.0,3.0,888,88.83333333333333,2,0,108.667
120,10448,194.0,2.0,763,76.33333333333333,1,0,273.902
119,11168,191.0,1.0,950,94.5,2,0,509.41
120,10375,191.0,1.0,993,98.66666666666667,2,0,37.914
120,10722,179.0,4.0,870,86.33333333333333,2,0,218.525
120,10234,191.0,1.0,925,92.5,2,0,253.935
120,10215,175.0,1.0,897,87.66666666666667,2,0,14.672
120,11149,178.0,1.0,882,88.16666666666667,3,0,95.506
119,10619,178.0,1.0,903,88.5,4,0,76.219
120,10247,178.0,1.0,915,88.66666666666667,5,0,80.155
120,10247,,,880,87.2,6,0,80.197
120,10336,178.0,1.0,868,86.83333333333333,4,0,80.391
120,11140,178.0,8.0,820,82.0,3,0,77.395
120,10677,178.0,1.0,958,94.66666666666667,2,0,300.0
119,10757,199.0,2.0,740,74.0,5,0,119.227
120,10356,178.0,1.0,930,91.0,2,0,21.04
120,10880,191.0,1.0,880,87.83333333333333,4,0,326.986
120,10383,,,852,85.16666666666667,3,0,339.69
120,10410,194.0,1.0,962,94.66666666666667,2,0,38.646
120,10806,179.0,1.0,820,82.0,2,0,112.88
120,10318,178.0,1.0,917,92.6,6,0,72.9
119,10333,191.0,1.0,918,91.0,3,0,740.482
119,10214,191.0,2.0,953,93.5,4,0,58.645
120,10435,178.0,1.0,943,98.0,2,0,137.638
120,10283,179.0,1.0,888,88.83333333333333,3,0,441.018
120,10301,178.0,3.0,857,80.83333333333333,2,0,43.375
120,10267,178.0,1.0,928,92.5,3,0,88.087
120,10884,,,0,45.333333333333336,3,0,639.439
120,10273,,,957,92.5,6,0,49.865
120,10233,179.0,3.0,933,92.83333333333333,2,0,274.237
120,10233,179.0,3.0,930,92.5,2,0,201.097
120,10247,191.0,1.0,883,87.33333333333333,5,0,82.967
120,10413,,,873,86.16666666666667,1,0,78.822
120,10215,194.0,3.0,918,91.83333333333333,1,0,6.603
120,10274,178.0,1.0,907,89.0,2,0,239.568
119,10759,197.0,1.0,908,90.33333333333333,2,0,206.18
120,11140,190.0,3.0,795,79.5,2,0,77.395
120,10233,179.0,2.0,907,87.33333333333333,6,0,3325.0
119,11053,,,743,80.0,2,0,428.536
120,10628,,,770,77.0,3,0,198.367
120,10546,193.0,1.0,857,83.0,3,0,105.998
120,10233,,,945,94.0,3,0,
119,11054,194.0,2.0,872,86.66666666666667,9,0,79.825
120,11164,178.0,1.0,842,84.16666666666667,3,0,132.393
119,11164,191.0,1.0,833,82.5,3,0,72.9
120,11092,,,900,90.0,4,0,873.2
120,11092,,,695,68.33333333333333,6,0,873.2
119,11092,,,818,81.33333333333333,1,0,873.2
120,10350,179.0,1.0,912,84.33333333333333,2,0,101.898
120,10350,,,932,91.66666666666667,5,0,95.795
120,10542,179.0,1.0,928,91.0,2,0,405.341
120,10947,178.0,2.0,800,80.0,3,0,80.095
120,11199,194.0,3.0,923,92.33333333333333,1,0,5.061
120,10952,179.0,1.0,837,83.66666666666667,2,0,93.401
120,10550,194.0,1.0,928,92.83333333333333,4,0,123.555
119,10293,178.0,1.0,928,90.66666666666667,3,0,85.419
119,10972,176.0,1.0,948,93.0,5,0,182.004
120,10434,,,850,85.0,5,0,49.865
120,10996,,,0,82.66666666666667,1,0,56.791
120,10778,,,890,87.83333333333333,1,0,769.7
120,10737,,,0,62.4,3,0,51.736
119,10410,178.0,6.0,900,86.33333333333333,5,0,44.036
119,10743,178.0,1.0,890,89.0,4,0,78.031
120,10379,194.0,1.0,868,84.0,5,0,80.341
120,10302,191.0,1.0,872,83.5,4,0,29.132
120,10565,177.0,3.0,843,81.5,4,0,302.166
120,10336,,,893,88.83333333333333,2,0,81.269
119,10383,191.0,1.0,877,87.66666666666667,4,0,322.041
120,11168,,,905,88.0,4,0,531.006
119,10822,178.0,4.0,952,95.16666666666667,3,0,451.686
120,10929,191.0,1.0,860,85.5,2,0,428.536
119,10383,,,933,89.16666666666667,2,0,323.122
120,10670,178.0,1.0,950,94.66666666666667,4,0,101.274
119,10944,,,937,93.0,3,0,273.902
120,10758,,,930,92.5,2,0,534.4
120,11006,,,728,69.33333333333333,3,0,273.902
120,10741,191.0,1.0,937,92.5,2,0,696.848
120,10436,191.0,1.0,900,90.0,3,0,80.7
120,10243,178.0,2.0,940,92.33333333333333,4,0,63.292
120,10867,191.0,1.0,940,90.33333333333333,4,0,202.893
120,11145,,,848,82.0,2,0,129.213
119,10404,191.0,1.0,872,86.66666666666667,2,0,91.6
120,10758,191.0,1.0,878,85.33333333333333,3,0,329.059
120,10738,199.0,5.0,885,88.5,4,0,35.959
120,11054,194.0,2.0,833,81.5,5,0,77.704
120,11135,190.0,31.0,783,78.33333333333333,5,0,105.996
119,10404,179.0,1.0,857,85.66666666666667,4,0,77.704
119,10318,191.0,1.0,893,88.5,2,0,68.5
120,11185,199.0,3.0,868,84.66666666666667,2,0,122.225
120,11054,191.0,1.0,933,93.33333333333333,4,0,79.543
120,11054,194.0,1.0,888,88.5,4,0,61.478
119,10913,178.0,1.0,907,90.66666666666667,2,0,92.454
120,10557,194.0,2.0,885,87.0,3,0,26.523
120,11184,177.0,5.0,757,74.16666666666667,1,0,78.031
119,11015,191.0,2.0,863,82.5,5,0,122.728
