GEND,SCHOOL,ZIP3,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED,DIST
119,11219,N3A,,,763,76.33333333333333,3,0,82.268
119,10295,N8N,177.0,2.0,862,84.5,3,0,287.087
120,10758,K7K,178.0,2.0,892,88.33333333333333,3,0,326.986
120,11225,L4W,194.0,1.0,925,92.5,2,0,54.851
119,10381,N9E,177.0,3.0,917,88.5,1,0,302.166
119,10413,N3Y,,,860,82.5,1,0,82.324
120,11140,M3H,194.0,2.0,890,89.0,6,0,77.395
120,11140,M3H,194.0,1.0,875,87.5,5,0,77.395
119,10842,P0T,191.0,1.0,940,93.5,2,0,1293.874
120,10613,L3X,191.0,1.0,938,91.83333333333333,3,0,117.408
120,10687,N1T,176.0,6.0,777,77.16666666666667,2,0,48.217
120,10943,M6B,194.0,1.0,925,92.5,4,0,76.784
119,11091,L6H,194.0,1.0,908,89.33333333333333,2,0,35.959
120,10648,N6G,179.0,2.0,858,85.83333333333333,3,0,141.092
120,10304,,,,858,78.33333333333333,1,0,
120,11140,M3H,178.0,1.0,848,84.83333333333333,5,0,77.395
119,10413,N3Y,194.0,1.0,895,88.0,3,0,82.324
120,11185,N5A,177.0,6.0,833,81.5,2,0,105.998
120,10528,N1L,191.0,1.0,932,91.0,3,0,43.773
120,11086,L5B,194.0,1.0,967,94.16666666666667,2,0,49.865
120,11140,M3H,194.0,1.0,915,91.5,4,0,77.395
120,10273,L5K,190.0,3.0,857,83.5,4,0,41.652
120,10273,L5K,190.0,4.0,875,85.83333333333333,5,0,41.652
120,10273,L5B,194.0,5.0,917,82.16666666666667,4,0,49.865
120,10546,N5A,179.0,1.0,887,88.66666666666667,2,0,105.998
120,11145,N6A,178.0,4.0,882,88.16666666666667,1,0,129.213
120,11145,N6A,194.0,2.0,923,92.33333333333333,4,0,129.213
119,11145,N6A,178.0,4.0,898,89.83333333333333,3,0,129.213
120,11145,N6A,,,793,79.33333333333333,1,0,129.213
119,11145,N6A,,,948,92.5,3,0,129.213
119,11145,N6A,194.0,1.0,962,94.66666666666667,4,0,129.213
120,11145,N6A,194.0,1.0,943,94.33333333333333,5,0,129.213
120,10834,N0R,177.0,1.0,912,90.16666666666667,3,0,300.974
120,11140,M3H,194.0,2.0,935,93.5,5,0,77.395
120,10313,,194.0,1.0,907,88.5,2,0,
119,11145,N6A,194.0,3.0,940,94.0,2,0,129.213
119,10767,N0L,194.0,1.0,805,79.5,3,0,148.182
120,10540,L9P,193.0,3.0,798,67.66666666666667,4,0,142.918
120,11092,J1M,194.0,1.0,858,84.16666666666667,6,0,873.2
120,11225,L5A,194.0,1.0,950,95.0,2,0,49.237
120,11092,J1M,191.0,9.0,797,77.33333333333333,4,0,873.2
120,11186,K0G,199.0,1.0,917,91.66666666666667,3,0,401.465
120,10990,K9J,,,963,96.33333333333333,3,0,202.554
120,11094,L6H,178.0,1.0,840,84.0,4,0,35.959
120,10331,L5N,194.0,4.0,803,77.33333333333333,2,0,47.066
120,10459,N2A,199.0,3.0,803,79.33333333333333,4,0,61.8
120,11185,N0K,197.0,1.0,812,81.16666666666667,2,0,123.468
120,10331,L5N,193.0,1.0,902,86.83333333333333,4,0,47.066
119,10990,K9J,191.0,2.0,970,97.0,1,0,202.554
119,10375,N1P,179.0,3.0,850,83.66666666666667,2,0,35.753
119,10239,L4J,,,848,83.33333333333333,7,0,89.771
120,11225,M8Y,190.0,5.0,815,80.0,6,0,59.419
120,10700,N4K,191.0,1.0,945,91.83333333333333,3,0,213.801
120,10793,K7M,,,907,90.66666666666667,2,0,323.122
120,10272,L4W,,,947,94.5,2,0,54.851
120,10611,L2N,,,945,94.5,2,0,69.576
120,10295,N8N,,,967,96.0,1,0,287.087
119,10528,N1H,,,783,78.33333333333333,7,0,51.696
120,10793,K7M,191.0,1.0,888,88.0,2,0,323.122
120,10313,,,,945,93.83333333333333,3,0,
120,10831,K8N,191.0,3.0,927,88.66666666666667,4,0,256.089
120,11144,M2J,175.0,3.0,863,86.16666666666667,5,0,85.743
120,10348,P1A,199.0,1.0,825,80.0,3,0,393.099
119,11140,M3H,194.0,4.0,907,90.5,8,0,77.395
119,10885,N9Y,178.0,1.0,952,94.83333333333333,3,0,293.687
120,11199,L8R,178.0,1.0,892,89.16666666666667,2,0,5.061
119,10301,L5L,194.0,3.0,900,86.83333333333333,5,0,43.375
120,10331,L5N,178.0,2.0,950,92.83333333333333,3,0,47.066
120,10528,N1L,197.0,6.0,813,81.33333333333333,2,0,43.773
120,10273,L5B,193.0,4.0,740,74.0,2,0,49.865
120,10272,L4W,194.0,1.0,892,88.83333333333333,3,0,54.851
120,10313,,179.0,2.0,880,87.83333333333333,3,0,
119,10233,,194.0,1.0,800,80.0,2,0,
120,10251,P1L,,,865,85.33333333333333,2,0,238.548
119,10335,L3C,194.0,1.0,907,89.16666666666667,3,0,89.2
119,10493,P0R,178.0,1.0,943,89.66666666666667,3,0,665.625
120,10239,L4E,194.0,2.0,858,85.33333333333333,3,0,111.505
120,10737,N1H,199.0,1.0,858,79.16666666666667,3,0,51.696
120,11145,N6A,,,927,92.0,3,0,129.213
120,10335,L3C,198.0,4.0,915,85.0,2,0,89.2
120,10384,L2M,198.0,3.0,810,78.66666666666667,1,0,73.9
120,10258,L3B,199.0,1.0,882,91.0,3,0,94.384
120,10628,N0H,179.0,1.0,958,95.66666666666667,3,0,198.367
119,10348,P0H,199.0,1.0,935,92.33333333333333,4,0,434.477
119,10273,L5B,,,798,79.83333333333333,4,0,49.865
119,10258,L2M,,,0,90.0,1,0,73.9
120,11145,N6A,,,945,93.33333333333333,1,0,129.213
120,10383,K7P,199.0,3.0,867,86.66666666666667,1,0,322.041
119,11170,L4B,194.0,3.0,903,88.16666666666667,5,0,95.795
119,10335,L3B,178.0,1.0,957,94.83333333333333,3,0,94.384
120,10808,N2N,,,0,54.2,2,0,70.053
120,10562,L9W,178.0,1.0,910,90.66666666666667,5,0,120.785
120,10235,,,,0,68.0,3,0,
120,10546,N5A,191.0,1.0,875,87.5,2,0,105.998
120,10619,N2V,178.0,1.0,963,94.0,3,0,76.332
120,10338,L6C,178.0,1.0,860,84.0,3,0,101.898
120,11179,M2H,193.0,8.0,750,74.16666666666667,4,0,86.654
119,11058,M4W,194.0,3.0,862,85.66666666666667,8,0,78.844
120,10944,K0K,,,823,76.66666666666667,2,0,273.902
120,10611,L2T,178.0,1.0,925,92.5,2,0,75.887
120,10528,N1G,195.0,3.0,817,81.66666666666667,2,0,47.319
120,10273,L5B,194.0,2.0,753,75.33333333333333,3,0,49.865
120,10341,L5M,175.0,5.0,750,69.66666666666667,7,0,44.036
120,10639,L5M,193.0,1.0,782,79.0,9,0,44.036
120,10387,M2L,199.0,3.0,798,78.83333333333333,6,0,82.967
120,10273,L5B,178.0,2.0,903,90.33333333333333,3,0,49.865
120,10331,L5N,197.0,5.0,853,85.33333333333333,2,0,47.066
120,10919,K0M,191.0,1.0,952,95.16666666666667,2,0,267.329
119,11195,M4L,178.0,1.0,918,89.66666666666667,2,0,73.8
120,10341,L5N,190.0,2.0,800,80.0,1,0,47.066
120,11026,M9B,194.0,1.0,983,97.0,4,0,57.793
120,11049,L8H,179.0,1.0,875,83.0,5,0,28.251
120,10628,N0H,197.0,1.0,845,80.33333333333333,5,0,198.367
120,11145,N6A,,,0,81.25,2,0,129.213
120,10211,L6A,178.0,1.0,950,95.0,4,0,93.662
120,10331,L5N,190.0,2.0,843,81.16666666666667,1,0,47.066
120,10277,K0E,,,855,84.16666666666667,3,0,385.085
120,10244,L6A,190.0,1.0,877,82.83333333333333,6,0,93.662
120,10328,N1K,197.0,1.0,830,82.33333333333333,3,0,51.736
120,10273,L5B,194.0,1.0,975,95.83333333333333,3,0,49.865
120,10857,N6C,179.0,2.0,865,85.66666666666667,1,0,124.695
120,10302,L6M,,,997,99.5,8,0,29.132
120,10755,L3V,191.0,1.0,952,92.6,3,0,185.795
120,10345,M5V,194.0,1.0,945,92.16666666666667,6,0,66.4
119,10592,N0M,193.0,2.0,765,76.5,1,0,156.952
120,10382,K0C,179.0,2.0,887,88.16666666666667,11,0,496.986
120,10988,282,,,0,79.0,3,0,
120,11000,L3T,197.0,2.0,795,77.83333333333333,3,0,96.043
120,10683,P2A,178.0,1.0,917,91.5,3,0,277.914
120,11043,L7G,199.0,3.0,790,79.4,5,0,58.494
120,10737,N1E,199.0,4.0,845,82.5,5,0,50.384
120,10566,M1R,194.0,1.0,925,90.0,3,0,83.177
119,10213,L7P,199.0,1.0,912,91.16666666666667,5,0,12.341
119,10384,L2N,179.0,2.0,978,96.83333333333333,1,0,69.576
120,11140,M3H,194.0,2.0,873,87.33333333333333,3,0,77.395
120,10345,M4X,190.0,5.0,870,87.0,6,0,71.307
120,11054,M4E,178.0,1.0,912,90.33333333333333,2,0,76.107
120,11054,M2K,,,972,96.66666666666667,3,0,80.391
120,11054,L5H,,,905,90.5,2,0,46.357
120,11009,M2N,,,0,78.66666666666667,4,0,80.095
120,10345,M2N,190.0,1.0,873,87.33333333333333,3,0,80.095
120,10345,M2N,190.0,2.0,855,85.5,3,0,80.095
120,10281,P6C,191.0,1.0,930,89.0,2,0,743.894
120,10400,L5A,178.0,1.0,933,93.16666666666667,2,0,49.237
120,10944,K0K,,,863,85.33333333333333,1,0,273.902
120,10355,L2J,178.0,1.0,963,93.5,2,0,82.8
120,10355,L2H,178.0,1.0,973,96.83333333333333,2,0,85.419
119,10784,N7A,194.0,1.0,965,96.16666666666667,3,0,175.537
120,10350,M2L,178.0,1.0,907,87.16666666666667,3,0,82.967
120,10318,L2N,179.0,1.0,880,86.66666666666667,7,0,69.576
120,10350,K9K,194.0,1.0,977,96.5,3,0,201.097
120,10481,M6P,191.0,1.0,902,88.66666666666667,4,0,63.7
120,10263,N0G,178.0,1.0,912,89.5,5,0,136.481
120,10755,L6J,,,845,83.66666666666667,2,0,36.619
120,10277,K7K,191.0,3.0,885,87.33333333333333,2,0,326.986
119,10345,M5B,194.0,1.0,948,94.83333333333333,5,0,69.875
119,10579,P0J,,,882,86.16666666666667,3,0,548.6
119,11238,,178.0,2.0,938,91.16666666666667,4,0,
119,10338,L3R,191.0,1.0,918,91.5,3,0,101.274
120,10301,L5L,,,832,80.83333333333333,3,0,43.375
120,10918,M8X,193.0,4.0,840,82.83333333333333,3,0,61.649
120,11188,N2C,179.0,1.0,940,89.33333333333333,4,0,61.605
