GEND,SCHOOL,ZIP3,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED
120,11120,M1V,178.0,1.0,903,87.66666666666667,6,0
120,10613,L3X,199.0,4.0,737,72.83333333333333,1,0
120,10316,L4Z,191.0,1.0,900,90.0,3,0
120,11188,N2P,178.0,1.0,940,94.0,3,0
120,10761,K9K,193.0,5.0,897,88.0,2,0
119,10786,L4X,175.0,5.0,752,75.16666666666667,1,0
119,10812,L3X,178.0,1.0,937,93.66666666666667,5,0
119,10812,L3X,178.0,1.0,968,94.33333333333333,4,0
120,10232,,199.0,2.0,868,86.83333333333333,6,0
120,11085,L1X,179.0,1.0,863,86.33333333333333,4,0
119,11058,M2M,194.0,1.0,962,95.5,5,0
119,11140,M1V,178.0,2.0,913,91.33333333333333,3,0
119,11140,M2J,194.0,3.0,817,81.66666666666667,7,0
120,10812,L3X,194.0,3.0,927,88.5,2,0
120,11239,M4W,,,923,90.5,7,0
119,10548,N0K,178.0,1.0,932,93.16666666666667,3,0
120,11021,L9T,178.0,1.0,968,95.5,2,0
120,10230,N2K,178.0,1.0,953,95.33333333333333,2,0
120,10316,L4Z,194.0,1.0,803,77.66666666666667,4,0
120,10451,N1T,178.0,1.0,950,63.333333333333336,4,0
119,10407,L9Y,197.0,3.0,977,96.66666666666667,4,0
120,10356,L7L,178.0,1.0,953,94.5,3,0
120,10587,L3R,179.0,6.0,835,83.5,3,0
120,10587,M1P,,,798,56.5,3,0
119,11140,M2N,194.0,1.0,928,92.83333333333333,6,0
119,11140,M2H,194.0,1.0,907,87.5,6,0
119,10709,L8E,190.0,6.0,872,84.5,1,0
119,10812,L3X,191.0,1.0,877,82.16666666666667,4,0
119,11140,M1V,178.0,1.0,908,90.16666666666667,6,0
120,11140,M2N,190.0,2.0,937,92.5,9,0
120,11140,M1H,194.0,1.0,910,90.83333333333333,7,0
120,10587,M1V,199.0,4.0,838,83.16666666666667,3,0
120,10587,M1S,194.0,2.0,883,88.33333333333333,3,0
119,10709,L8G,178.0,1.0,972,96.16666666666667,3,0
120,10402,K2K,,,890,88.5,1,0
119,11140,M1S,194.0,3.0,887,88.66666666666667,7,0
120,10587,M1S,194.0,9.0,900,90.0,2,0
120,10230,N2N,,,843,82.66666666666667,4,0
120,10611,L0S,178.0,1.0,898,89.66666666666667,2,0
120,10384,L2M,179.0,1.0,935,93.5,2,0
120,11140,M2J,194.0,2.0,860,86.0,5,0
120,11140,M1S,194.0,2.0,888,88.83333333333333,5,0
120,10402,K2T,191.0,1.0,893,89.0,3,0
120,10480,,178.0,14.0,860,86.0,6,0
120,11233,L3P,194.0,1.0,900,89.33333333333333,2,0
119,10538,P4N,193.0,3.0,888,87.33333333333333,2,0
120,11140,M5R,194.0,1.0,922,92.16666666666667,3,0
120,10909,L5N,199.0,2.0,877,16.0,3,0
120,11140,M1V,194.0,8.0,838,83.83333333333333,6,0
119,10331,L5N,,,983,96.16666666666667,1,0
120,10210,M5J,175.0,5.0,867,86.66666666666667,3,0
120,11140,M1W,194.0,1.0,935,93.5,3,0
119,10304,,,,798,77.66666666666667,6,0
120,10799,K1V,199.0,1.0,883,86.0,6,0
119,10304,,,,898,89.83333333333333,7,0
120,11082,L6E,194.0,2.0,952,94.83333333333333,4,0
120,10327,L4S,178.0,3.0,897,75.0,12,0
120,11142,M1T,,,857,85.66666666666667,6,0
119,10799,K1S,193.0,1.0,860,84.33333333333333,5,0
119,10611,L2N,178.0,3.0,933,91.83333333333333,2,0
120,10888,L4H,178.0,1.0,847,84.66666666666667,4,0
120,10580,K0H,191.0,1.0,923,92.33333333333333,3,0
120,10523,N5R,179.0,2.0,953,93.66666666666667,3,0
120,11239,M2N,194.0,1.0,928,91.33333333333333,12,0
120,10729,K2J,191.0,2.0,952,95.16666666666667,3,0
120,10273,L5C,181.0,2.0,773,77.33333333333333,1,0
120,10912,L7M,178.0,4.0,907,15.5,1,0
120,11184,N4G,177.0,3.0,958,95.83333333333333,2,0
120,10232,M5M,179.0,3.0,928,91.0,2,0
119,10946,K2L,194.0,2.0,953,94.16666666666667,4,0
120,11168,K1M,191.0,2.0,875,84.0,4,0
119,10585,N1R,191.0,1.0,957,95.33333333333333,3,0
120,10429,L6H,191.0,1.0,982,97.16666666666667,5,0
119,10909,M9W,193.0,4.0,860,16.0,5,0
120,10273,L5B,194.0,1.0,873,87.33333333333333,2,0
120,10273,L5B,,,777,77.66666666666667,2,0
119,10350,L4C,178.0,1.0,963,93.5,5,0
120,11140,M2H,194.0,3.0,860,86.0,2,0
120,11088,M2H,178.0,3.0,932,92.5,2,0
120,11140,M2M,,,0,31.0,4,0
119,11088,M1W,178.0,2.0,940,94.0,4,0
120,10528,N1L,197.0,1.0,917,88.66666666666667,3,0
120,11168,K1C,,,832,80.33333333333333,6,0
119,10214,L7N,191.0,1.0,968,95.83333333333333,5,0
119,11030,M5M,194.0,1.0,933,92.33333333333333,4,0
119,10827,K0K,191.0,1.0,912,91.16666666666667,3,0
120,10387,M4R,179.0,1.0,877,85.66666666666667,3,0
119,10217,M8Z,178.0,2.0,922,92.16666666666667,4,0
120,11233,M1W,194.0,2.0,962,96.16666666666667,7,0
120,10217,M9N,,,662,66.16666666666667,1,0
119,10574,N5R,178.0,1.0,933,92.66666666666667,3,0
120,10217,M9N,178.0,3.0,880,88.0,4,0
120,11197,K1V,178.0,1.0,940,93.33333333333333,3,0
120,10625,N6E,193.0,2.0,795,79.5,8,0
120,10316,L4Z,199.0,4.0,898,88.66666666666667,2,0
120,10567,L3R,190.0,7.0,895,84.16666666666667,3,0
119,10302,L6M,194.0,1.0,893,89.33333333333333,2,0
119,11058,M5R,,,978,97.83333333333333,3,0
120,11237,K0C,191.0,1.0,897,89.66666666666667,3,0
120,10304,,199.0,3.0,867,86.33333333333333,2,0
120,10321,,,,880,88.0,3,0
119,11082,L3R,193.0,6.0,858,85.83333333333333,4,0
120,11140,M2J,191.0,4.0,868,86.83333333333333,8,0
119,10217,M9N,178.0,5.0,962,95.83333333333333,8,0
120,11140,M2H,194.0,1.0,917,90.5,3,0
120,10777,K0A,199.0,2.0,933,93.33333333333333,3,0
120,10904,K7M,191.0,4.0,965,16.333333333333332,3,0
119,10884,P0K,178.0,2.0,918,91.33333333333333,3,0
120,10946,K2K,191.0,1.0,915,91.5,4,0
120,10372,M9C,199.0,3.0,848,84.83333333333333,2,0
119,10722,N7S,178.0,4.0,883,70.0,5,0
120,11120,M1V,178.0,1.0,900,87.5,2,0
120,11067,K4M,178.0,1.0,960,94.16666666666667,3,0
120,11236,L5C,178.0,1.0,895,88.16666666666667,2,0
120,10277,K7K,,,908,87.5,2,0
120,10917,N0B,193.0,1.0,828,82.83333333333333,2,0
120,10304,,178.0,2.0,930,93.0,3,0
119,10594,L8W,178.0,1.0,955,94.0,6,0
120,10313,,,,887,86.66666666666667,1,0
120,10321,,194.0,1.0,803,80.33333333333333,3,0
119,10799,K1S,194.0,1.0,897,75.66666666666667,5,0
120,10904,K7M,191.0,7.0,928,15.833333333333334,2,0
119,10358,,194.0,1.0,952,95.0,3,0
120,11140,M2H,194.0,7.0,875,87.5,2,0
119,11120,M1V,178.0,5.0,965,96.5,6,0
119,11140,M1W,194.0,1.0,842,84.0,5,0
120,10628,N0H,,,795,79.5,3,0
119,11030,M5P,191.0,1.0,945,93.83333333333333,3,0
120,10216,K9V,181.0,1.0,890,87.33333333333333,3,0
119,10532,M6P,,,873,87.33333333333333,2,0
120,10429,L6H,179.0,2.0,895,88.0,3,0
120,11140,M1S,194.0,1.0,818,81.83333333333333,5,0
120,10831,K0K,191.0,1.0,955,94.16666666666667,3,0
119,10812,L3X,178.0,1.0,920,90.33333333333333,4,0
119,10648,K8N,197.0,1.0,912,91.16666666666667,3,0
120,10812,L3Y,191.0,1.0,920,92.0,2,0
120,10618,K2R,193.0,2.0,862,81.0,1,0
120,11068,N9G,177.0,1.0,960,95.83333333333333,3,0
120,10550,L4A,191.0,1.0,952,94.66666666666667,4,0
120,10930,L3Y,178.0,2.0,988,97.5,1,0
119,10486,N4K,178.0,2.0,957,95.0,3,0
120,10355,L2H,191.0,1.0,923,88.83333333333333,3,0
120,11217,L5C,194.0,2.0,953,95.33333333333333,3,0
120,10302,L7L,198.0,2.0,840,65.0,3,0
120,10872,K1W,191.0,2.0,900,89.0,4,0
119,10331,L5N,178.0,1.0,877,84.16666666666667,2,0
120,10383,K7P,191.0,1.0,917,91.16666666666667,3,0
120,10328,N1H,178.0,1.0,960,94.66666666666667,4,0
119,11024,L9G,191.0,1.0,920,91.33333333333333,2,0
120,11232,K7H,193.0,4.0,862,84.66666666666667,2,0
120,10488,N0B,197.0,4.0,847,82.66666666666667,5,0
120,11094,L6H,191.0,1.0,937,93.0,2,0
120,10984,N6G,179.0,1.0,970,95.83333333333333,2,0
