GEND,SCHOOL,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED
120,11140,194.0,5.0,895,89.5,4,0
120,11140,194.0,6.0,833,83.33333333333333,4,0
120,11219,193.0,2.0,830,83.0,1,0
120,10297,178.0,1.0,965,95.66666666666667,2,0
120,11140,194.0,1.0,985,97.0,10,0
120,11140,194.0,2.0,962,96.16666666666667,3,0
119,11140,194.0,1.0,973,97.0,3,0
120,10996,178.0,3.0,940,93.83333333333333,4,0
119,10331,194.0,1.0,963,95.5,2,0
120,11140,194.0,5.0,842,84.16666666666667,4,0
120,10331,194.0,1.0,817,81.5,2,0
120,10758,191.0,2.0,950,95.0,3,0
119,10327,178.0,1.0,910,91.0,8,0
119,10405,179.0,3.0,877,87.66666666666667,1,0
120,10532,190.0,1.0,872,87.16666666666667,2,0
120,11013,191.0,1.0,940,93.0,2,0
120,10278,178.0,2.0,952,95.16666666666667,3,0
120,10703,194.0,1.0,925,91.16666666666667,5,0
120,10587,179.0,1.0,870,86.66666666666667,4,0
120,10277,,,857,83.66666666666667,2,0
119,11110,178.0,1.0,957,94.16666666666667,2,0
120,10387,179.0,1.0,978,96.83333333333333,2,0
120,10758,179.0,1.0,903,89.5,2,0
120,10924,199.0,3.0,785,78.5,4,0
119,10980,192.0,5.0,730,73.0,1,0
120,11168,191.0,2.0,957,94.83333333333333,3,0
120,10709,178.0,2.0,950,94.0,3,0
120,11021,178.0,1.0,990,99.0,3,0
119,10216,,,967,96.33333333333333,2,0
120,11120,178.0,1.0,960,92.66666666666667,4,0
120,11201,191.0,3.0,955,95.5,2,0
120,10459,178.0,1.0,935,92.83333333333333,3,0
120,10234,193.0,1.0,947,94.16666666666667,2,0
120,10267,191.0,1.0,928,92.83333333333333,3,0
120,10946,199.0,6.0,830,83.0,7,0
120,11083,,,883,88.16666666666667,2,0
120,11140,194.0,4.0,857,85.66666666666667,3,0
120,11088,,,908,74.5,6,0
119,10990,199.0,1.0,975,97.5,2,0
120,10394,,,948,94.66666666666667,2,0
120,10316,190.0,4.0,842,82.5,2,0
120,11005,194.0,1.0,892,89.16666666666667,2,0
120,10350,178.0,1.0,955,93.16666666666667,4,0
120,10662,178.0,1.0,945,94.5,2,0
120,10611,199.0,1.0,917,90.16666666666667,3,0
120,11228,,,830,70.5,3,0
119,10394,191.0,2.0,942,94.16666666666667,3,0
120,10230,178.0,1.0,918,91.83333333333333,4,0
119,10262,,,947,94.0,1,0
120,10822,191.0,1.0,925,92.5,2,0
