GEND,SCHOOL,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED,DIST
120,11140,196.0,5.0,852,83.66666666666667,5,1,77.395
120,10302,196.0,2.0,882,86.16666666666667,2,1,29.132
119,10214,196.0,2.0,932,91.83333333333333,2,1,44.676
119,11148,196.0,1.0,885,88.5,1,1,44.036
120,11140,196.0,7.0,858,85.16666666666667,7,1,77.395
120,11140,196.0,5.0,853,85.33333333333333,5,1,77.395
120,10737,196.0,2.0,878,86.5,2,1,50.384
120,11219,196.0,2.0,842,84.16666666666667,2,1,82.268
119,11219,196.0,2.0,828,82.83333333333333,2,1,82.268
120,11090,196.0,4.0,813,82.2,4,1,89.771
120,10235,196.0,1.0,842,84.16666666666667,1,1,112.88
119,10234,196.0,2.0,948,93.66666666666667,2,1,253.935
120,11238,196.0,1.0,885,88.5,2,0,29.132
119,10356,196.0,1.0,828,81.33333333333333,1,1,21.165
120,10611,196.0,1.0,953,95.33333333333333,1,1,72.9
120,11094,196.0,1.0,863,86.33333333333333,1,1,29.132
120,11199,196.0,1.0,792,79.16666666666667,1,0,5.061
120,10331,196.0,1.0,837,84.4,2,0,47.066
120,10348,196.0,1.0,905,90.0,1,1,393.099
120,10218,196.0,2.0,817,80.83333333333333,2,1,96.7
120,10648,196.0,3.0,882,80.0,3,1,253.935
119,10750,196.0,2.0,958,94.66666666666667,2,1,122.993
120,10258,196.0,1.0,803,86.0,1,1,89.2
120,10229,196.0,1.0,817,82.2,1,1,227.599
120,10324,196.0,6.0,847,95.0,6,1,44.036
119,11148,196.0,9.0,817,82.8,10,0,47.066
119,11024,196.0,3.0,953,95.16666666666667,3,1,15.182
120,10383,196.0,3.0,872,85.16666666666667,3,1,322.041
120,10428,196.0,3.0,923,95.0,3,1,517.127
120,10516,196.0,2.0,922,83.66666666666667,2,1,68.4
119,10215,196.0,2.0,873,84.66666666666667,2,1,14.672
120,10247,196.0,2.0,857,82.5,2,1,48.897
120,10834,196.0,3.0,910,90.16666666666667,3,1,300.974
120,10213,196.0,3.0,858,85.83333333333333,3,1,9.638
120,10905,196.0,1.0,892,84.33333333333333,1,1,2.2
120,10663,196.0,2.0,840,84.0,2,1,441.78
120,10883,196.0,2.0,820,82.0,1,0,86.471
120,11242,196.0,1.0,943,94.0,1,1,58.645
120,11023,196.0,2.0,892,87.5,2,1,44.127
120,10775,196.0,1.0,852,85.16666666666667,1,1,70.914
119,10302,196.0,4.0,898,89.83333333333333,4,1,29.132
120,11245,196.0,1.0,885,87.16666666666667,1,1,8.381
120,10243,196.0,5.0,895,90.8,5,1,63.292
119,10215,196.0,1.0,888,85.0,2,0,6.603
120,10384,196.0,2.0,822,81.16666666666667,2,1,73.9
120,11026,196.0,1.0,830,81.16666666666667,1,1,56.791
120,10267,196.0,2.0,875,85.16666666666667,2,1,88.087
120,11053,196.0,2.0,855,95.0,2,1,451.686
120,10478,196.0,2.0,788,78.83333333333333,2,0,72.9
119,10230,196.0,3.0,907,88.66666666666667,3,1,
119,10350,196.0,3.0,995,98.66666666666667,3,1,89.771
120,10722,196.0,2.0,927,91.16666666666667,2,1,202.893
120,10215,196.0,1.0,833,83.33333333333333,1,1,14.672
119,11043,196.0,1.0,897,89.0,1,1,58.494
120,10384,196.0,1.0,845,83.0,1,1,73.9
120,10436,196.0,1.0,958,95.16666666666667,1,1,80.7
120,10290,196.0,1.0,845,83.0,1,1,48.217
120,10598,196.0,1.0,845,81.16666666666667,1,1,6.603
120,11189,196.0,2.0,908,90.5,2,1,273.902
120,10996,196.0,3.0,968,95.66666666666667,3,1,56.791
120,10996,196.0,2.0,962,95.0,2,1,56.791
119,10434,196.0,2.0,843,81.83333333333333,1,0,49.237
120,10341,196.0,2.0,825,81.16666666666667,2,1,44.036
120,10636,196.0,5.0,913,85.5,5,1,96.7
120,11024,196.0,1.0,868,86.83333333333333,1,1,9.638
119,10739,196.0,5.0,863,84.33333333333333,1,0,93.401
119,10436,196.0,2.0,958,94.5,2,1,75.887
120,10598,196.0,1.0,938,93.0,1,1,9.638
120,10546,196.0,4.0,822,82.16666666666667,4,1,105.998
119,10858,196.0,6.0,930,91.66666666666667,6,1,95.506
120,10209,196.0,1.0,833,82.16666666666667,1,1,119.227
119,10215,196.0,1.0,912,90.33333333333333,1,1,6.603
120,10384,196.0,3.0,843,84.16666666666667,3,1,79.807
120,10215,196.0,1.0,848,84.33333333333333,1,1,6.603
120,10700,196.0,2.0,973,97.16666666666667,2,1,213.801
120,10561,196.0,2.0,910,90.83333333333333,2,1,79.807
120,10253,196.0,2.0,903,86.83333333333333,2,1,65.281
120,10215,196.0,2.0,878,78.83333333333333,1,0,6.603
120,10214,196.0,1.0,955,93.16666666666667,1,1,12.341
120,10687,196.0,3.0,882,85.5,3,1,48.217
120,11043,196.0,2.0,803,80.33333333333333,2,1,57.919
120,10948,196.0,2.0,900,84.66666666666667,2,1,79.807
120,10209,196.0,1.0,822,79.66666666666667,1,1,118.678
120,10495,196.0,2.0,915,87.0,7,0,18.526
119,10223,196.0,7.0,930,91.5,7,1,44.036
120,10540,196.0,3.0,850,82.33333333333333,3,1,142.918
120,10410,196.0,1.0,865,84.33333333333333,1,1,41.652
119,10545,196.0,1.0,870,82.33333333333333,1,1,161.9
119,11054,196.0,3.0,908,90.0,3,1,61.649
120,10717,196.0,2.0,957,94.66666666666667,2,1,36.619
120,11090,196.0,1.0,892,87.33333333333333,1,1,89.771
120,11189,196.0,3.0,957,93.33333333333333,3,1,186.245
119,10343,196.0,5.0,828,80.0,5,1,497.219
120,10215,196.0,1.0,813,81.33333333333333,1,1,6.603
120,10322,196.0,6.0,822,79.33333333333333,5,0,
120,11043,196.0,1.0,877,84.5,1,1,58.494
120,10696,196.0,3.0,857,85.66666666666667,3,1,197.873
120,10278,196.0,2.0,832,82.33333333333333,2,1,94.52
120,11083,196.0,3.0,825,82.5,3,1,81.269
120,10410,196.0,4.0,830,82.33333333333333,4,1,38.646
120,10744,196.0,1.0,882,86.83333333333333,1,1,300.974
120,10617,196.0,1.0,845,84.5,1,1,82.826
119,11012,196.0,1.0,918,91.0,1,1,28.402
120,10917,196.0,1.0,885,84.66666666666667,1,1,65.281
120,10384,196.0,1.0,880,84.5,1,1,73.9
120,11148,196.0,3.0,897,89.66666666666667,3,1,49.865
120,10302,196.0,2.0,847,84.66666666666667,2,1,29.132
120,10557,196.0,1.0,880,85.6,3,0,26.523
120,10764,196.0,1.0,958,95.83333333333333,1,1,58.645
120,10434,196.0,2.0,800,76.33333333333333,1,0,49.547
120,10429,196.0,1.0,922,89.33333333333333,1,1,35.959
120,10463,196.0,2.0,877,82.83333333333333,2,1,49.237
119,10400,196.0,3.0,837,82.33333333333333,3,1,49.237
120,10598,196.0,1.0,833,83.33333333333333,1,1,14.672
120,10331,196.0,1.0,872,85.5,1,1,47.066
119,10603,196.0,2.0,868,86.83333333333333,2,1,144.945
119,10835,196.0,1.0,888,79.66666666666667,1,1,119.227
120,10764,196.0,1.0,980,97.66666666666667,1,1,44.362
119,10267,196.0,3.0,930,92.16666666666667,3,1,76.762
120,10731,196.0,3.0,887,87.16666666666667,3,1,15.182
120,10793,196.0,2.0,895,88.83333333333333,2,1,323.122
120,10341,196.0,3.0,900,90.0,3,1,44.036
120,10848,196.0,1.0,857,84.5,1,1,21.165
120,10536,196.0,3.0,862,83.16666666666667,3,1,38.646
120,10383,196.0,2.0,847,83.16666666666667,2,1,323.122
119,10594,196.0,1.0,893,86.0,1,1,0.836
120,10918,196.0,11.0,823,81.16666666666667,11,1,61.649
120,10231,196.0,2.0,972,96.33333333333333,2,1,119.227
120,10628,196.0,1.0,850,82.5,1,1,198.367
120,10709,196.0,3.0,850,80.83333333333333,3,1,34.328
120,10964,196.0,2.0,868,84.0,2,1,38.646
119,10922,196.0,2.0,975,97.0,6,0,62.191
120,11010,196.0,1.0,877,83.0,1,1,297.078
120,11148,196.0,4.0,873,87.33333333333333,4,1,44.036
119,10868,196.0,1.0,825,80.33333333333333,1,1,96.7
120,10938,196.0,1.0,813,77.66666666666667,1,0,82.955
120,11164,196.0,1.0,837,83.33333333333333,1,1,68.5
120,11240,196.0,2.0,905,88.33333333333333,2,1,93.662
119,10376,196.0,2.0,862,81.16666666666667,2,1,102.72
120,10476,196.0,3.0,827,79.66666666666667,3,0,0.836
120,10722,196.0,1.0,900,90.0,1,1,202.893
120,11148,196.0,1.0,872,87.16666666666667,1,1,26.523
120,10243,196.0,3.0,823,79.16666666666667,3,0,63.292
120,10215,196.0,1.0,902,86.83333333333333,1,1,6.603
120,10755,196.0,2.0,847,82.5,2,1,
120,10585,196.0,1.0,833,81.16666666666667,1,1,37.914
120,10294,196.0,3.0,850,84.16666666666667,3,1,111.191
120,10873,196.0,3.0,868,86.0,3,1,97.319
120,10557,196.0,2.0,953,95.33333333333333,2,1,26.523
120,10896,196.0,4.0,855,82.0,4,1,105.068
120,11023,196.0,1.0,827,82.66666666666667,1,1,43.773
120,10955,196.0,1.0,832,81.33333333333333,1,1,57.919
120,10751,196.0,2.0,828,82.83333333333333,2,1,77.8
120,10250,196.0,2.0,943,93.16666666666667,2,1,202.893
120,10731,196.0,3.0,862,85.33333333333333,3,1,15.182
120,10316,196.0,1.0,822,80.5,1,1,50.891
119,10883,196.0,4.0,825,80.66666666666667,4,1,455.993
120,11012,196.0,2.0,925,92.16666666666667,2,1,30.2
120,10383,196.0,3.0,875,85.83333333333333,3,1,323.122
120,10446,196.0,3.0,955,95.16666666666667,3,1,165.539
120,10515,196.0,1.0,863,84.83333333333333,1,1,17.022
120,11209,196.0,1.0,928,92.16666666666667,1,1,4.295
120,10705,196.0,2.0,773,77.33333333333333,2,0,136.481
120,10410,196.0,1.0,778,76.0,1,0,38.646
120,10773,196.0,1.0,910,90.0,1,1,4.295
120,10228,196.0,1.0,833,80.0,1,1,26.523
120,10413,196.0,3.0,878,87.0,3,1,44.386
120,10292,196.0,2.0,850,84.83333333333333,2,1,734.777
120,10964,196.0,1.0,843,84.33333333333333,1,1,43.375
120,10333,196.0,5.0,875,86.33333333333333,5,1,743.517
120,10864,196.0,2.0,878,87.83333333333333,2,1,236.071
120,10725,196.0,1.0,837,81.16666666666667,1,1,44.036
119,11021,196.0,2.0,892,87.0,2,1,36.861
119,10747,196.0,1.0,950,92.5,1,1,67.3
120,10372,196.0,2.0,885,88.5,2,1,64.777
119,10789,196.0,1.0,980,94.33333333333333,3,0,356.08
120,11239,196.0,3.0,895,87.33333333333333,3,1,80.095
120,10950,196.0,1.0,982,98.16666666666667,1,1,28.251
119,10400,196.0,1.0,885,85.16666666666667,3,0,54.851
120,10920,196.0,2.0,888,88.83333333333333,2,1,289.123
120,10646,196.0,2.0,842,83.83333333333333,2,1,57.793
120,10733,196.0,5.0,820,82.0,3,0,58.985
120,10543,196.0,3.0,848,81.16666666666667,3,1,49.237
120,10474,196.0,1.0,847,82.5,1,1,29.132
120,11049,196.0,2.0,822,81.33333333333333,2,1,34.328
120,10410,196.0,1.0,943,93.0,1,1,46.357
120,10301,196.0,1.0,912,90.5,1,1,43.375
120,10225,196.0,2.0,867,84.0,2,1,69.821
120,11038,196.0,1.0,938,93.83333333333333,1,1,122.771
120,10225,196.0,2.0,867,84.5,2,1,63.292
120,10879,196.0,1.0,828,82.83333333333333,1,1,88.169
119,10380,196.0,1.0,890,85.0,1,1,54.851
120,10640,196.0,1.0,900,90.0,1,1,56.209
120,10316,196.0,3.0,828,82.33333333333333,3,1,50.5
120,11245,196.0,1.0,903,87.16666666666667,1,1,18.881
119,10316,196.0,1.0,927,89.0,1,1,50.891
119,10619,196.0,2.0,838,81.5,2,1,76.219
120,10476,196.0,1.0,947,93.33333333333333,1,1,4.295
120,10781,196.0,1.0,820,82.0,1,1,29.132
120,10738,196.0,5.0,890,87.33333333333333,5,1,35.959
120,10495,196.0,1.0,857,84.66666666666667,1,1,18.526
120,10478,196.0,1.0,845,84.5,1,1,72.9
119,10909,196.0,1.0,885,91.0,1,1,48.809
120,10929,196.0,2.0,818,81.16666666666667,2,1,428.536
119,10545,196.0,1.0,927,91.5,1,1,148.182
120,10341,196.0,3.0,885,87.33333333333333,3,1,44.036
120,10251,196.0,3.0,838,83.83333333333333,3,1,273.473
120,10346,196.0,3.0,880,87.33333333333333,3,1,125.982
119,10598,196.0,1.0,958,91.6,2,0,6.603
120,10990,196.0,1.0,963,96.0,1,1,274.237
120,10964,196.0,2.0,825,82.0,2,1,38.646
120,10738,196.0,4.0,868,85.33333333333333,4,1,35.959
120,10495,196.0,1.0,900,90.0,1,1,6.603
