YEAR,RECNO,SCHOOL,SBOARD,REGBOARD,CNTYBOARD,GEND,BIRTHY,RESPROV,RESCNTY,ZIP3,RESCOUNT,RESRGN,STATUS,CIT,CITRGN,LANG,APPCAT,CONFUNI,CONFPR,CONFPRG,CONLEV,CONFT,CONFCHOIC,REGUNI,REGPR,REGPRG,REGLEV,REGT,REGCHOIC,SECORCOD1,SECORC1,SECORM1,SECORCOD2,SECORC2,SECORM2,SECORCOD3,SECORC3,SECORM3,SECORCOD4,SECORC4,SECORM4,SECORCOD5,SECORC5,SECORM5,SECORCOD6,SECORC6,SECORM6,SECORCOD7,SECORC7,SECORM7,SECORCOD8,SECORC8,SECORM8,SECORCOD9,SECORC9,SECORM9,SECORCOD10,SECORC10,SECORM10,SECORCOD11,SECORC11,SECORM11,SECORCOD12,SECORC12,SECORM12,YRSSCH,NOAC,TOTOAC,WAVERG1,WAVERG2,MOI,CHOIC1,DUNI1,DPRO1,DPG1,DFS1,DENR1,DMAJ1,DCOOP1,DLEV1,UDEC1,PRO1,PRGO1,DENRD1,DLEVD1,CONIND1,REGIND1,CHOIC2,DUNI2,DPRO2,DPG2,DFS2,DENR2,DMAJ2,DCOOP2,DLEV2,UDEC2,PRO2,PRGO2,DENRD2,DLEVD2,CONIND2,REGIND2,CHOIC3,DUNI3,DPRO3,DPG3,DFS3,DENR3,DMAJ3,DCOOP3,DLEV3,UDEC3,PRO3,PRGO3,DENRD3,DLEVD3,CONIND3,REGIND3,CHOIC4,DUNI4,DPRO4,DPG4,DFS4,DENR4,DMAJ4,DCOOP4,DLEV4,UDEC4,PRO4,PRGO4,DENRD4,DLEVD4,CONIND4,REGIND4,CHOIC5,DUNI5,DPRO5,DPG5,DFS5,DENR5,DMAJ5,DCOOP5,DLEV5,UDEC5,PRO5,PRGO5,DENRD5,DLEVD5,CONIND5,REGIND5,CHOIC6,DUNI6,DPRO6,DPG6,DFS6,DENR6,DMAJ6,DCOOP6,DLEV6,UDEC6,PRO6,PRGO6,DENRD6,DLEVD6,CONIND6,REGIND6,CHOIC7,DUNI7,DPRO7,DPG7,DFS7,DENR7,DMAJ7,DCOOP7,DLEV7,UDEC7,PRO7,PRGO7,DENRD7,DLEVD7,CONIND7,REGIND7,CHOIC8,DUNI8,DPRO8,DPG8,DFS8,DENR8,DMAJ8,DCOOP8,DLEV8,UDEC8,PRO8,PRGO8,DENRD8,DLEVD8,CONIND8,REGIND8,CHOIC9,DUNI9,DPRO9,DPG9,DFS9,DENR9,DMAJ9,DCOOP9,DLEV9,UDEC9,PRO9,PRGO9,DENRD9,DLEVD9,CONIND9,REGIND9,CHOIC10,DUNI10,DPRO10,DPG10,DFS10,DENR10,DMAJ10,DCOOP10,DLEV10,UDEC10,PRO10,PRGO10,DENRD10,DLEVD10,CONIND10,REGIND10,CHOIC11,DUNI11,DPRO11,DPG11,DFS11,DENR11,DMAJ11,DCOOP11,DLEV11,UDEC11,PRO11,PRGO11,DENRD11,DLEVD11,CONIND11,REGIND11,CHOIC12,DUNI12,DPRO12,DPG12,DFS12,DENR12,DMAJ12,DCOOP12,DLEV12,UDEC12,PRO12,PRGO12,DENRD12,DLEVD12,CONIND12,REGIND12,CHOIC13,DUNI13,DPRO13,DPG13,DFS13,DENR13,DMAJ13,DCOOP13,DLEV13,UDEC13,PRO13,PRGO13,DENRD13,DLEVD13,CONIND13,REGIND13,CHOIC14,DUNI14,DPRO14,DPG14,DFS14,DENR14,DMAJ14,DCOOP14,DLEV14,UDEC14,PRO14,PRGO14,DENRD14,DLEVD14,CONIND14,REGIND14,CHOIC15,DUNI15,DPRO15,DPG15,DFS15,DENR15,DMAJ15,DCOOP15,DLEV15,UDEC15,PRO15,PRGO15,DENRD15,DLEVD15,CONIND15,REGIND15,CHOIC16,DUNI16,DPRO16,DPG16,DFS16,DENR16,DMAJ16,DCOOP16,DLEV16,UDEC16,PRO16,PRGO16,DENRD16,DLEVD16,CONIND16,REGIND16,CHOIC17,DUNI17,DPRO17,DPG17,DFS17,DENR17,DMAJ17,DCOOP17,DLEV17,UDEC17,PRO17,PRGO17,DENRD17,DLEVD17,CONIND17,REGIND17,CHOIC18,DUNI18,DPRO18,DPG18,DFS18,DENR18,DMAJ18,DCOOP18,DLEV18,UDEC18,PRO18,PRGO18,DENRD18,DLEVD18,CONIND18,REGIND18,CHOIC19,DUNI19,DPRO19,DPG19,DFS19,DENR19,DMAJ19,DCOOP19,DLEV19,UDEC19,PRO19,PRGO19,DENRD19,DLEVD19,CONIND19,REGIND19,CHOIC20,DUNI20,DPRO20,DPG20,DFS20,DENR20,DMAJ20,DCOOP20,DLEV20,UDEC20,PRO20,PRGO20,DENRD20,DLEVD20,CONIND20,REGIND20
2017,831470,11140,7007,6013,5013,120,1999,125,143,N2X,20042,210,2,20094,201,3,1,194,OJA,277,1,F,5,194,OJA,277,1,F,5,CGW4U,100,82,CHI4U,100,58,ENG4U,100,80,MCV4U,100,95,MHF4U,100,94,SCH4U,100,96,SPH4U,100,90,,,,,,,,,,,,,,,,2,7,700,0,895,,1,194,OI,274,1,F,,,1,2,,300,,,N,N,2,194,OHA,275,1,F,,,1,2,,300,,,N,N,3,178,KA,274,1,F,,1,1,2,,300,,,N,N,4,196,SIA,274,1,F,97954,1,1,1,SYK,274,F,1,N,N,5,194,OJA,277,1,F,99919,,1,1,OJA,277,F,1,Y,Y,6,179,II,274,1,F,97954,,1,2,,300,,,N,N,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,
2017,831467,11140,7007,6013,5013,120,1998,125,143,N3N,20042,210,2,20094,201,3,1,194,OPP,279,1,F,6,194,OPP,279,1,F,6,CGW4U,100,83,CHI4U,100,71,ENG4U,100,76,MCV4U,100,85,MHF4U,100,85,SCH4U,100,82,SPH4U,100,89,,,,,,,,,,,,,,,,2,7,700,0,833,,1,194,OIR,274,1,F,,,1,2,,300,,,N,N,2,178,KKU,274,1,F,,1,1,2,,300,,,N,N,3,179,II,274,1,F,99719,,1,2,,300,,,N,N,4,196,SI,274,1,F,99944,,1,2,,300,,,N,N,5,193,RUI,274,1,F,,1,1,2,,300,,,N,N,6,194,OPP,279,1,F,91124,,1,1,OPP,279,F,1,Y,Y,7,194,OXV,277,1,F,99998,,1,2,,300,,,N,N,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,
2017,831449,11219,7010,6007,5007,120,1998,125,137,O4B,20042,210,2,20076,203,1,1,193,RNI,274,1,F,2,,,300,,,,ENG4U,100,82,MCV4U,100,80,MDM4U,100,84,MHF4U,100,86,SCH4U,100,82,SPH4U,100,84,,,,,,,,,,,,,,,,,,,1,6,600,0,830,,1,196,SIA,274,1,F,99944,1,1,2,,300,,,N,N,2,193,RUI,274,1,F,,1,1,1,RNI,274,F,1,Y,N,3,194,OSK,277,1,F,91577,,1,2,,300,,,N,N,4,178,KPI,277,1,F,97456,1,1,1,KPI,277,F,1,N,N,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,
2017,831463,10297,7034,6028,5028,120,1998,125,160,O1L,20042,210,0,20131,211,1,1,178,KBO,274,1,F,1,178,KBO,274,1,F,1,BAT4M,100,96,ENG4U,100,91,HRE4M,100,90,MCV4U,100,97,MDM4U,100,98,MHF4U,100,97,PSK4U,100,93,SCH4U,100,96,SPH4U,200,95,,,,,,,,,,5,9,1000,0,965,,1,178,KBO,274,1,F,,1,1,1,KBO,274,F,1,Y,Y,2,196,SIA,274,1,F,99963,1,1,1,SIA,274,F,1,N,N,3,191,ZI,274,1,F,91969,,1,1,ZI,274,F,1,N,N,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,
2017,831462,11219,7010,6007,5007,120,1999,125,137,O2M,20042,210,2,20025,203,1,1,196,SIA,274,1,F,3,196,SIA,274,1,F,3,ENG4U,100,86,MCV4U,100,92,MDM4U,100,93,MHF4U,100,95,SCH4U,100,93,SPH4U,100,89,,,,,,,,,,,,,,,,,,,1,6,600,0,913,,1,178,KKW,274,1,F,,1,1,2,,300,,,N,N,2,194,OI,274,1,F,,,1,1,OSK,277,F,1,N,N,3,196,SIA,274,1,F,97954,1,1,1,SIA,274,F,1,Y,Y,4,191,ZI,274,1,F,97954,,1,1,ZI,274,F,1,N,N,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,
2017,831453,11140,7007,6013,5013,120,1997,125,143,N2Q,20042,210,2,20094,201,3,1,194,OD,274,1,F,1,,,300,,,,CGW4U,100,97,ENG4U,100,90,MCV4U,100,98,MDM4U,100,99,MHF4U,100,98,SBI4U,100,99,SCH4U,100,99,SPH4U,100,98,,,,,,,,,,,,,3,8,800,0,985,,1,194,OIR,274,1,F,,,1,1,OD,274,F,1,Y,N,2,178,KNH,235,1,F,,1,1,1,KNH,235,F,1,N,N,3,178,KSN,235,1,F,98037,1,1,1,KSN,235,F,1,N,N,4,178,KNS,274,1,F,,1,1,1,KNS,274,F,1,N,N,5,194,OTV,277,1,F,99828,,1,1,OTV,277,F,1,N,N,6,175,GNE,275,1,F,,,1,1,GNE,275,F,1,N,N,7,194,OTH,279,1,F,,,1,1,OTH,279,F,1,N,N,8,179,IY,275,1,F,99997,,1,1,IY,275,F,1,N,N,9,191,ZEP,277,1,F,,,1,1,ZEP,277,F,1,N,N,10,196,SIA,274,1,F,96566,1,1,1,SIA,274,F,1,N,N,11,196,STP,277,1,F,91168,,1,1,STP,277,F,1,N,N,12,191,ZP,277,1,F,,,1,1,ZP,277,F,1,N,N,13,199,AC,285,1,F,,,1,1,AC,285,F,1,N,N,14,193,ROA,275,1,F,,1,1,1,ROA,275,F,1,N,N,15,193,RPS,277,1,F,,,1,1,RPS,277,F,1,N,N,16,196,SBP,260,1,F,,,1,2,,300,,,N,N,17,191,ZA,275,1,F,,,1,2,,300,,,N,N,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,
2017,831452,11140,7007,6013,5013,120,1997,125,143,N2T,20042,210,2,20094,201,3,1,194,OTV,277,1,F,2,194,OTV,277,1,F,2,ENG4U,100,86,MCV4U,100,97,MDM4U,100,98,MHF4U,100,99,SCH4U,100,98,SPH4U,100,99,,,,,,,,,,,,,,,,,,,1,6,600,0,962,,1,194,ON,274,1,F,,,1,2,,300,,,N,N,2,194,OTV,277,1,F,99981,,1,1,OTV,277,F,1,Y,Y,3,196,SIA,274,1,F,99963,1,1,1,SIA,274,F,1,N,N,4,178,KA,274,1,F,,1,1,1,KA,274,F,1,N,N,5,179,II,274,1,F,99963,,1,2,,300,,,N,N,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,
2017,831444,10329,7027,6014,5014,120,1999,125,144,M7Q,20042,210,0,20131,211,1,1,196,SIA,274,1,F,2,196,SIA,274,1,F,2,ENG4U,100,83,FSF4U2,100,85,HRE4M,100,86,ICS4U,100,85,MCV4U,100,91,MHF4U,100,93,SCH4U,100,84,SPH4U,100,87,TEJ4M,100,92,,,,,,,,,,4,9,900,890,890,,1,178,KSO,274,1,F,,1,1,2,,300,,,N,N,2,196,SIA,274,1,F,98648,1,1,1,SIA,274,F,1,Y,Y,3,190,PHH,274,1,F,,,1,1,PHH,274,F,1,N,N,4,194,OS,274,1,F,,,1,2,,300,,,N,N,5,181,YIU,274,1,F,,,1,1,YIU,274,F,1,N,N,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,
2017,831443,10329,7027,6014,5014,119,1999,125,144,M7Q,20042,210,0,20131,211,1,1,196,SN,275,1,F,3,196,SN,275,1,F,3,ENG4U,100,91,HRE4M,100,82,ICS4U,100,84,MCV4U,100,81,MHF4U,100,84,SCH4U,100,77,SPH4U,100,85,,,,,,,,,,,,,,,,4,7,700,822,845,,1,196,SI,274,1,F,97958,,1,2,,300,,,N,N,2,178,KQ,294,1,F,,1,1,2,,300,,,N,N,3,196,SN,275,1,F,99997,,1,1,SN,275,F,1,Y,Y,4,175,GO,274,1,F,,1,1,1,GO,274,F,1,N,N,5,194,OAP,274,1,F,,,1,2,,300,,,N,N,6,194,OTH,279,1,F,,,1,1,OTH,279,F,1,N,N,7,178,KKC,274,1,F,,1,1,2,,300,,,N,N,8,197,VNT,274,1,F,,,1,1,VNT,274,F,1,N,N,9,190,PAI,274,1,F,,,1,1,PAI,274,F,1,N,N,10,193,RNI,274,1,F,,,1,1,RNI,274,F,1,N,N,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,
2017,831394,11140,7007,6013,5013,119,1999,125,143,N2X,20042,210,2,20094,201,3,1,194,OL,274,1,F,1,194,OL,274,1,F,1,CGW4U,100,93,ENG4U,100,91,MCV4U,100,99,MDM4U,100,97,MHF4U,100,100,SCH4U,100,96,SPH4U,100,99,,,,,,,,,,,,,,,,1,7,700,973,973,,1,194,OL,274,1,F,,,1,1,OL,274,F,1,Y,Y,2,194,OTH,279,1,F,,,1,1,OTH,279,F,1,N,N,3,196,SIA,274,1,F,99944,1,1,1,SIA,274,F,1,N,N,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,
