YEAR,RECNO,SCHOOL,SBOARD,REGBOARD,CNTYBOARD,GEND,BIRTHY,RESPROV,RESCNTY,ZIP3,RESCOUNT,RESRGN,STATUS,CIT,CITRGN,LANG,APPCAT,CONFUNI,CONFPR,CONFPRG,CONLEV,CONFT,CONFCHOIC,REGUNI,REGPR,REGPRG,REGLEV,REGT,REGCHOIC,SECORCOD1,SECORC1,SECORM1,SECORCOD2,SECORC2,SECORM2,SECORCOD3,SECORC3,SECORM3,SECORCOD4,SECORC4,SECORM4,SECORCOD5,SECORC5,SECORM5,SECORCOD6,SECORC6,SECORM6,SECORCOD7,SECORC7,SECORM7,SECORCOD8,SECORC8,SECORM8,SECORCOD9,SECORC9,SECORM9,SECORCOD10,SECORC10,SECORM10,SECORCOD11,SECORC11,SECORM11,SECORCOD12,SECORC12,SECORM12,YRSSCH,NOAC,TOTOAC,WAVERG1,WAVERG2,MOI,CHOIC1,DUNI1,DPRO1,DPG1,DFS1,DENR1,DMAJ1,DCOOP1,DLEV1,UDEC1,PRO1,PRGO1,DENRD1,DLEVD1,CONIND1,REGIND1,CHOIC2,DUNI2,DPRO2,DPG2,DFS2,DENR2,DMAJ2,DCOOP2,DLEV2,UDEC2,PRO2,PRGO2,DENRD2,DLEVD2,CONIND2,REGIND2,CHOIC3,DUNI3,DPRO3,DPG3,DFS3,DENR3,DMAJ3,DCOOP3,DLEV3,UDEC3,PRO3,PRGO3,DENRD3,DLEVD3,CONIND3,REGIND3,CHOIC4,DUNI4,DPRO4,DPG4,DFS4,DENR4,DMAJ4,DCOOP4,DLEV4,UDEC4,PRO4,PRGO4,DENRD4,DLEVD4,CONIND4,REGIND4,CHOIC5,DUNI5,DPRO5,DPG5,DFS5,DENR5,DMAJ5,DCOOP5,DLEV5,UDEC5,PRO5,PRGO5,DENRD5,DLEVD5,CONIND5,REGIND5,CHOIC6,DUNI6,DPRO6,DPG6,DFS6,DENR6,DMAJ6,DCOOP6,DLEV6,UDEC6,PRO6,PRGO6,DENRD6,DLEVD6,CONIND6,REGIND6,CHOIC7,DUNI7,DPRO7,DPG7,DFS7,DENR7,DMAJ7,DCOOP7,DLEV7,UDEC7,PRO7,PRGO7,DENRD7,DLEVD7,CONIND7,REGIND7,CHOIC8,DUNI8,DPRO8,DPG8,DFS8,DENR8,DMAJ8,DCOOP8,DLEV8,UDEC8,PRO8,PRGO8,DENRD8,DLEVD8,CONIND8,REGIND8,CHOIC9,DUNI9,DPRO9,DPG9,DFS9,DENR9,DMAJ9,DCOOP9,DLEV9,UDEC9,PRO9,PRGO9,DENRD9,DLEVD9,CONIND9,REGIND9,CHOIC10,DUNI10,DPRO10,DPG10,DFS10,DENR10,DMAJ10,DCOOP10,DLEV10,UDEC10,PRO10,PRGO10,DENRD10,DLEVD10,CONIND10,REGIND10,CHOIC11,DUNI11,DPRO11,DPG11,DFS11,DENR11,DMAJ11,DCOOP11,DLEV11,UDEC11,PRO11,PRGO11,DENRD11,DLEVD11,CONIND11,REGIND11,CHOIC12,DUNI12,DPRO12,DPG12,DFS12,DENR12,DMAJ12,DCOOP12,DLEV12,UDEC12,PRO12,PRGO12,DENRD12,DLEVD12,CONIND12,REGIND12,CHOIC13,DUNI13,DPRO13,DPG13,DFS13,DENR13,DMAJ13,DCOOP13,DLEV13,UDEC13,PRO13,PRGO13,DENRD13,DLEVD13,CONIND13,REGIND13,CHOIC14,DUNI14,DPRO14,DPG14,DFS14,DENR14,DMAJ14,DCOOP14,DLEV14,UDEC14,PRO14,PRGO14,DENRD14,DLEVD14,CONIND14,REGIND14,CHOIC15,DUNI15,DPRO15,DPG15,DFS15,DENR15,DMAJ15,DCOOP15,DLEV15,UDEC15,PRO15,PRGO15,DENRD15,DLEVD15,CONIND15,REGIND15,CHOIC16,DUNI16,DPRO16,DPG16,DFS16,DENR16,DMAJ16,DCOOP16,DLEV16,UDEC16,PRO16,PRGO16,DENRD16,DLEVD16,CONIND16,REGIND16,CHOIC17,DUNI17,DPRO17,DPG17,DFS17,DENR17,DMAJ17,DCOOP17,DLEV17,UDEC17,PRO17,PRGO17,DENRD17,DLEVD17,CONIND17,REGIND17,CHOIC18,DUNI18,DPRO18,DPG18,DFS18,DENR18,DMAJ18,DCOOP18,DLEV18,UDEC18,PRO18,PRGO18,DENRD18,DLEVD18,CONIND18,REGIND18,CHOIC19,DUNI19,DPRO19,DPG19,DFS19,DENR19,DMAJ19,DCOOP19,DLEV19,UDEC19,PRO19,PRGO19,DENRD19,DLEVD19,CONIND19,REGIND19,CHOIC20,DUNI20,DPRO20,DPG20,DFS20,DENR20,DMAJ20,DCOOP20,DLEV20,UDEC20,PRO20,PRGO20,DENRD20,DLEVD20,CONIND20,REGIND20
2012,831470,11140,7007,6013,5013,120,1991,125,143,N4I,20042,210,2,20094,201,3,1,196,SIA,274,1,F,5,196,SIA,274,1,F,5,CGW4U,100,87,CHI4U,100,83,ENG4U,100,74,MCV4U,100,81,MHF4U,100,84,SCH4U,100,91,SPH4U,100,85,,,,,,,,,,,,,,,,1,7,700,0,852,,1,178,KKW,274,1,F,,1,1,2,,300,,,N,N,2,178,KS,235,1,F,99998,1,1,2,,300,,,N,N,3,194,OXV,277,1,F,99998,,1,1,OXV,277,F,1,N,N,4,194,OPN,277,1,F,94718,1,1,1,OPN,277,F,1,N,N,5,196,SIA,274,1,F,97954,1,1,1,SIA,274,F,1,Y,Y,6,194,OSF,277,1,F,99919,,1,1,OSF,277,F,1,N,N,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,
2012,831471,11140,7007,6013,5013,120,1993,125,143,N4I,20042,210,2,20094,201,3,1,194,OHA,275,1,F,7,194,OHA,275,1,F,7,ENG4U,100,88,MCV4U,100,95,MHF4U,100,92,SBI4U,100,91,SCH4U,100,91,SPH4U,100,88,,,,,,,,,,,,,,,,,,,1,6,600,0,908,,1,194,OPB,248,1,F,99909,1,1,1,OPS,275,F,1,N,N,2,178,KNI,277,1,F,,1,1,1,KNI,277,F,1,N,N,3,178,KSW,235,1,F,,,1,1,KSN,235,F,1,N,N,4,196,SAA,274,1,F,99919,1,1,1,SAA,274,F,1,N,N,5,196,SIA,274,1,F,97954,1,1,1,SIA,274,F,1,N,N,6,194,OD,274,1,F,99983,,1,2,,300,,,N,N,7,194,OHA,275,1,F,,,1,1,OHA,275,F,1,Y,Y,8,178,KAP,235,1,F,96578,,1,1,KAP,235,F,1,N,N,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,
2012,831469,10527,7053,6013,5013,120,1986,125,143,N2H,20042,210,1,20120,201,3,1,190,PBV,268,1,F,2,190,PBV,268,1,F,2,CHI4U,100,92,ENG4U,100,76,EWC4U,0,31,HSB4M,100,90,MDM4U,100,94,MHF4U,100,80,SBI4U,100,80,SCH4U,100,91,SPH4U,100,84,,,,,,,,,,2,9,800,878,885,,1,190,PBJ,268,1,F,,,1,1,PBJ,268,F,1,N,N,2,190,PBV,268,1,F,,,1,1,PBV,268,F,1,Y,Y,3,190,PBB,268,1,F,,,1,1,PBB,268,F,1,N,N,4,196,SB,268,1,F,,,1,2,,300,,,N,N,5,175,GUV,268,1,F,,,1,1,GUV,268,F,1,N,N,6,175,GUW,268,1,F,,,1,1,GUW,268,F,1,N,N,7,181,YUB,268,1,F,,,1,1,YUB,268,F,1,N,N,8,180,QAB,268,1,F,,,1,1,QAB,268,F,1,N,N,9,198,NBP,268,1,F,,,1,2,,300,,,N,N,10,179,IBW,268,1,F,,,1,2,,300,,,N,N,11,179,IBK,268,1,F,,,1,2,,300,,,N,N,12,181,YIH,274,1,F,,,1,1,YIH,274,F,1,N,N,13,181,YIA,274,1,F,,,1,1,YIA,274,F,1,N,N,14,179,IYW,275,1,F,,,1,2,,300,,,N,N,15,196,SIA,274,1,F,99719,1,1,1,SIA,274,F,1,N,N,16,178,KKU,274,1,F,,1,1,2,,300,,,N,N,17,194,OS,274,1,F,94793,,1,2,,300,,,N,N,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,
2012,831465,11140,7007,6013,5013,119,1993,125,143,N4I,20042,210,2,20094,201,3,1,194,OD,274,1,F,1,194,OD,274,1,F,1,ENG4U,100,89,MCV4U,100,97,MDM4U,100,92,MHF4U,100,94,SCH4U,100,91,SPH4U,100,92,,,,,,,,,,,,,,,,,,,1,6,600,925,925,,1,194,OD,274,1,F,99991,,1,1,OD,274,F,1,Y,Y,2,178,KKU,274,1,F,,1,1,1,KKU,274,F,1,N,N,3,196,SIA,274,1,F,99719,1,1,1,SIA,274,F,1,N,N,4,194,OXV,277,1,F,99891,,1,1,OXV,277,F,1,N,N,5,194,OPN,277,1,F,96382,1,1,1,OPN,277,F,1,N,N,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,
2012,831459,10321,7005,,,120,1992,121,147,861,20016,211,4,20102,207,3,1,178,KAP,235,1,W,1,,,300,,,,ENG4U,100,70,MCV4U,100,85,MDM4U,100,92,MHF4U,100,87,SCH4U,100,74,SPH4U,100,86,,,,,,,,,,,,,,,,,,,2,6,600,0,823,,1,178,KAP,235,1,W,96578,,1,1,KAP,235,W,1,Y,N,2,175,GPV,277,1,W,,,1,2,,300,,,N,N,3,199,AIP,274,1,W,,1,1,2,,300,,,N,N,4,175,GPC,274,1,S,,,1,2,,300,,,N,N,5,177,BPM,277,1,W,,,1,1,BPP,277,W,1,N,N,6,193,RCH,274,1,W,,1,1,2,,300,,,N,N,7,194,OAP,274,1,F,94087,,1,2,,300,,,N,N,8,196,SIA,274,1,F,99361,1,1,2,,300,,,N,N,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,
2012,831447,11140,7007,6013,5013,120,1993,125,143,N4I,20042,210,2,20094,201,3,1,194,OE,274,1,F,1,194,OE,274,1,F,1,CGW4U,100,83,CHI4U,100,90,ENG4U,100,81,MCV4U,100,91,MHF4U,100,89,SCH4U,100,91,SPH4U,100,83,,,,,,,,,,,,,,,,1,7,700,0,878,,1,194,OE,274,1,F,97552,,1,1,OE,274,F,1,Y,Y,2,178,KIS,274,1,F,,1,1,2,,300,,,N,N,3,194,OHA,275,1,F,99907,,1,1,OHA,275,F,1,N,N,4,194,OSI,275,1,F,99578,,1,1,OSI,275,F,1,N,N,5,178,KNH,235,1,F,,1,1,1,KSI,235,F,1,N,N,6,196,SI,274,1,F,99719,,1,1,SI,274,F,1,N,N,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,
2012,831461,11009,7007,6013,5013,120,1992,125,143,N3O,20042,210,2,20094,201,3,1,,,300,,,,,,300,,,,AVI4M,100,88,ENG4U,100,75,LKMDU,100,98,MCV4U,100,89,MHF4U,100,90,SCH4U,100,83,SPH4U,100,84,,,,,,,,,,,,,,,,1,7,700,0,887,,1,178,KI,274,1,F,,1,1,2,,300,,,N,N,2,178,KIQ,290,1,F,,,1,2,,300,,,N,N,3,178,KH,279,1,F,94074,,1,1,KDH,279,F,1,N,N,4,194,OL,274,1,F,,,1,2,,300,,,N,N,5,191,ZI,274,1,F,99944,,1,2,,300,,,N,N,6,196,SIA,274,1,F,,1,1,2,,300,,,N,N,7,179,II,274,1,F,99944,,1,1,II,274,F,1,N,N,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,
2012,831445,10246,7007,6013,5013,120,1990,125,143,N6B,20042,210,2,20094,201,3,1,194,OL,274,1,F,1,194,OL,274,1,F,1,ENG4U,100,83,ICS4U,0,37,MCV4U,100,90,MDM4U,100,82,MHF4U,100,85,SBI4U,100,70,SCH4U,100,91,SPH4U,100,94,,,,,,,,,,,,,2,8,700,0,875,,1,194,OL,274,1,F,94072,,1,1,OL,274,F,1,Y,Y,2,194,OXV,277,1,F,99742,,1,1,OXV,277,F,1,N,N,3,196,SI,274,1,F,94590,,1,2,,300,,,N,N,4,194,OPX,277,1,F,96382,,1,1,OPX,277,F,1,N,N,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,
2012,831442,11147,7007,6013,5013,120,1993,121,147,N3N,20026,201,2,20075,201,3,1,,,300,,,,,,300,,,,ENG4U,100,83,MCV4U,100,95,MDM4U,100,86,MHF4U,100,96,SCH4U,100,96,SPH4U,100,90,,,,,,,,,,,,,,,,,,,4,6,600,0,910,,1,194,OAP,274,1,F,94121,,1,2,,300,,,N,N,2,178,KKC,274,1,F,,1,1,1,KKC,274,F,1,N,N,3,194,OHY,277,1,F,99361,,1,1,OHY,277,F,1,N,N,4,196,SIA,274,1,F,97958,1,1,1,SIA,274,F,1,N,N,5,191,ZI,274,1,F,97958,,1,1,ZI,274,F,1,N,N,6,175,GPC,274,1,F,,,1,1,GPC,274,F,1,N,N,7,179,II,274,1,F,97958,,1,1,II,274,F,1,N,N,8,193,RNI,274,1,W,,1,1,1,RNI,274,W,1,N,N,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,
2012,831399,10297,7034,6028,5028,120,1994,125,160,O1L,20042,210,0,20131,211,1,1,178,KII,274,1,F,1,178,KII,274,1,F,1,ENG4U,100,80,HRE4M,100,91,MCV4U,100,74,MDM4U,100,80,MHF4U,100,85,SCH4U,100,78,SPH4U,100,78,,,,,,,,,,,,,,,,4,7,700,820,820,,1,178,KII,274,1,F,,1,1,1,KII,274,F,1,Y,Y,2,199,AIY,274,1,F,,1,1,1,AIY,274,F,1,N,N,3,179,II,274,1,F,99719,,1,2,,300,,,N,N,4,197,VNB,274,1,F,,1,1,1,VNB,274,F,1,N,N,5,196,SIA,274,1,F,94889,1,1,1,SIA,274,F,1,N,N,6,181,YIB,274,1,F,,,1,1,YIB,274,F,1,N,N,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,,,,,300,,,,
